# File Name: Holy-Bible---Holy-Bible---Abureni---Abureni-Bible---Analysis.txt
# File Size: 31691       
# File Date: 12/13/2025 05:09:26
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Abureni Bible
# Bible Name English: Abureni Bible
# Bible Language: Abureni
# Bible Language English: Abureni
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Luke Initiative for Scripture Translation
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mgj
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Abureni---Abureni-Bible	ENCODING	Source	Holy-Bible---Abureni---Abureni-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Abureni---Abureni-Bible	ENCODING	Aionian	Holy-Bible---Abureni---Abureni-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Abureni---Abureni-Bible	BYTES	Source	bytes / chars	830714 / 699638 (multi-byte)	NOTICE
Abureni---Abureni-Bible	BYTES	Aionian	bytes / chars	859021 / 727873 (multi-byte)	NOTICE
Abureni---Abureni-Bible	BYTES	SourceClean	bytes / chars	829897 / 698821 (multi-byte)	NOTICE
Abureni---Abureni-Bible	BYTES	AionianClean	bytes / chars	857292 / 726161 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Abureni---Abureni-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Abureni---Abureni-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Abureni---Abureni-Bible	AIONIAN	Aionian	book-defined-not-exist	173	NOTICE
Abureni---Abureni-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Abureni---Abureni-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Abureni---Abureni-Bible	AIONIAN	Aionian	aionian-verses	91	NOTICE
Abureni---Abureni-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Abureni---Abureni-Bible	UNPRINTABLE	Source	count	0	NOTICE
Abureni---Abureni-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Abureni---Abureni-Bible	UNICODE	Summary	(-)Orginal	42	NOTICE
Abureni---Abureni-Bible	UNICODE	Summary	(+)Aionian	46	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (M)	1908	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (A)	6055	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (T)	1558	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : ( )	107829	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (1)	3541	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (:)	4096	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (d)	14407	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (u)	18802	NOTICE
Abureni---Abureni-Bible	UNICODE	Source(-)	Basic Latin : (l)	10631	NOTICE
