# File Name: Holy-Bible---Holy-Bible---Ahirani---Gospels---Analysis.txt
# File Size: 14730       
# File Date: 06/19/2025 05:01:20
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: प्रेम संदेश
# Bible Name English: Ahirani Gospels
# Bible Language: अहिराणी‎
# Bible Language English: Ahirani
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 6/13/2025
# Bible Source Link: https://ebible.org/details.php?id=ahr
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ahirani---Gospels	ENCODING	Source	Holy-Bible---Ahirani---Gospels---Source-Edition.VPL.txt	UTF-8	NOTICE
Ahirani---Gospels	ENCODING	Aionian	Holy-Bible---Ahirani---Gospels---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ahirani---Gospels	BYTES	Source	bytes / chars	499427 / 201803 (multi-byte)	NOTICE
Ahirani---Gospels	BYTES	Aionian	bytes / chars	512042 / 214340 (multi-byte)	NOTICE
Ahirani---Gospels	BYTES	SourceClean	bytes / chars	498633 / 201009 (multi-byte)	NOTICE
Ahirani---Gospels	BYTES	AionianClean	bytes / chars	510706 / 213060 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ahirani---Gospels	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ahirani---Gospels	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ahirani---Gospels	AIONIAN	Aionian	book-defined-not-exist	234	NOTICE
Ahirani---Gospels	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ahirani---Gospels	AIONIAN	Aionian	missing-verse	0	NOTICE
Ahirani---Gospels	AIONIAN	Aionian	aionian-verses	30	NOTICE
Ahirani---Gospels	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ahirani---Gospels	UNPRINTABLE	Source	count	0	NOTICE
Ahirani---Gospels	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ahirani---Gospels	UNICODE	Summary	(-)Orginal	17	NOTICE
Ahirani---Gospels	UNICODE	Summary	(+)Aionian	42	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (M)	1749	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (T)	1071	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : ( )	32975	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (1)	1489	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (:)	1749	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (,)	2146	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (.)	1441	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (\n)	1749	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (2)	1198	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (4)	557	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (5)	456	NOTICE
Ahirani---Gospels	UNICODE	Source(-)	Basic Latin : (6)	414	NOTICE
