# File Name: Holy-Bible---Holy-Bible---Ajiya---Ajiya-Bible---Analysis.txt
# File Size: 17111       
# File Date: 12/13/2025 05:09:36
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ajigha Bible
# Bible Name English: Ajiya Bible
# Bible Language: Ajiya
# Bible Language English: Ajiya
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Mission For Scripture Translation And Language Development
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=idc
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ajiya---Ajiya-Bible	ENCODING	Source	Holy-Bible---Ajiya---Ajiya-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Ajiya---Ajiya-Bible	ENCODING	Aionian	Holy-Bible---Ajiya---Ajiya-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ajiya---Ajiya-Bible	BYTES	Source	bytes / chars	500193 / 437509 (multi-byte)	NOTICE
Ajiya---Ajiya-Bible	BYTES	Aionian	bytes / chars	526948 / 464200 (multi-byte)	NOTICE
Ajiya---Ajiya-Bible	BYTES	SourceClean	bytes / chars	499384 / 436700 (multi-byte)	NOTICE
Ajiya---Ajiya-Bible	BYTES	AionianClean	bytes / chars	525568 / 462820 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ajiya---Ajiya-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ajiya---Ajiya-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ajiya---Ajiya-Bible	AIONIAN	Aionian	book-defined-not-exist	193	NOTICE
Ajiya---Ajiya-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ajiya---Ajiya-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Ajiya---Ajiya-Bible	AIONIAN	Aionian	aionian-verses	71	NOTICE
Ajiya---Ajiya-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ajiya---Ajiya-Bible	UNPRINTABLE	Source	count	0	NOTICE
Ajiya---Ajiya-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ajiya---Ajiya-Bible	UNICODE	Summary	(-)Orginal	42	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Summary	(+)Aionian	45	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (M)	2023	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (A)	5104	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (T)	1154	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : ( )	88872	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (1)	3271	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (:)	3778	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (i)	40725	NOTICE
Ajiya---Ajiya-Bible	UNICODE	Source(-)	Basic Latin : (u)	19378	NOTICE
