# File Name: Holy-Bible---Holy-Bible---Albanian-Tosk---Albanian-Bible---Analysis.txt
# File Size: 32641       
# File Date: 07/05/2024 12:28:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bibla e Shenjtë
# Bible Name English: Albanian Bible
# Bible Language: Shqiptar
# Bible Language English: Albanian, Tosk
# Bible Copyright Format: CC Attribution NoDerivatives 4.0, 2018-2024
# Bible Copyright Text: Public Domain
# Bible Source: Albanian Bible Society
# Bible Source Version: 2/21/2024
# Bible Source Link: https://ebible.org/details.php?id=alsSHQ
# Bible Source Year: 1994
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Albanian-Tosk---Albanian-Bible	ENCODING	Source	Holy-Bible---Albanian-Tosk---Albanian-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Albanian-Tosk---Albanian-Bible	ENCODING	Aionian	Holy-Bible---Albanian-Tosk---Albanian-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Albanian-Tosk---Albanian-Bible	BYTES	Source	bytes / chars	4670590 / 4298603 (multi-byte)	NOTICE
Albanian-Tosk---Albanian-Bible	BYTES	Aionian	bytes / chars	4884897 / 4512709 (multi-byte)	NOTICE
Albanian-Tosk---Albanian-Bible	BYTES	SourceClean	bytes / chars	4669875 / 4297888 (multi-byte)	NOTICE
Albanian-Tosk---Albanian-Bible	BYTES	AionianClean	bytes / chars	4881363 / 4509188 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 263
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Albanian-Tosk---Albanian-Bible	AIONIAN	Aionian	tested-verses	264	ERROR

# UNPRINTABLE
Albanian-Tosk---Albanian-Bible	UNPRINTABLE	Source	count	0	NOTICE
Albanian-Tosk---Albanian-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Albanian-Tosk---Albanian-Bible	UNICODE	Summary	(-)Orginal	45	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Summary	(+)Aionian	49	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Source(-)	Basic Latin : (G)	3819	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Source(-)	Basic Latin : ( )	780589	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Source(-)	Basic Latin : (:)	39397	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Source(-)	Basic Latin : (i)	246061	NOTICE
Albanian-Tosk---Albanian-Bible	UNICODE	Source(-)	Basic Latin : (l)	65484	NOTICE
