# File Name: Holy-Bible---Holy-Bible---Amo---Amo-Bible---Analysis.txt
# File Size: 27207       
# File Date: 12/13/2025 05:09:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Amo Bible
# Bible Name English: Amo Bible
# Bible Language: Timap
# Bible Language English: Amo
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Door43 World Missions Community, AFenlason, et al
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=amo
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Amo---Amo-Bible	ENCODING	Source	Holy-Bible---Amo---Amo-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Amo---Amo-Bible	ENCODING	Aionian	Holy-Bible---Amo---Amo-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Amo---Amo-Bible	BYTES	Source	bytes / chars	1003301 / 994415 (multi-byte)	NOTICE
Amo---Amo-Bible	BYTES	Aionian	bytes / chars	1061922 / 1052848 (multi-byte)	NOTICE
Amo---Amo-Bible	BYTES	SourceClean	bytes / chars	1002500 / 993614 (multi-byte)	NOTICE
Amo---Amo-Bible	BYTES	AionianClean	bytes / chars	1059713 / 1050639 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Amo---Amo-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Amo---Amo-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Amo---Amo-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Amo---Amo-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Amo---Amo-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Amo---Amo-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Amo---Amo-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Amo---Amo-Bible	UNPRINTABLE	Source	count	0	NOTICE
Amo---Amo-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Amo---Amo-Bible	UNICODE	Summary	(-)Orginal	55	NOTICE
Amo---Amo-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (A)	5614	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (T)	2960	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : ( )	176395	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (1)	8049	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (:)	8070	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (n)	119600	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (y)	13890	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (e)	44967	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (r)	24620	NOTICE
Amo---Amo-Bible	UNICODE	Source(-)	Basic Latin : (t)	25948	NOTICE
