# File Name: Holy-Bible---Holy-Bible---Aruamu---Aruamu-Bible---Analysis.txt
# File Size: 1718469     
# File Date: 08/01/2025 12:54:24
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Godɨn Eghaghanim
# Bible Name English: Aruamu Bible
# Bible Language: Mikarew-Ariaw
# Bible Language English: Aruamu
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 7/26/2025
# Bible Source Link: https://ebible.org/details.php?id=msy2020
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Aruamu---Aruamu-Bible	ENCODING	Source	Holy-Bible---Aruamu---Aruamu-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Aruamu---Aruamu-Bible	ENCODING	Aionian	Holy-Bible---Aruamu---Aruamu-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Aruamu---Aruamu-Bible	BYTES	Source	bytes / chars	6429120 / 6076877 (multi-byte)	NOTICE
Aruamu---Aruamu-Bible	BYTES	Aionian	bytes / chars	6634012 / 6282316 (multi-byte)	NOTICE
Aruamu---Aruamu-Bible	BYTES	SourceClean	bytes / chars	6428299 / 6076056 (multi-byte)	NOTICE
Aruamu---Aruamu-Bible	BYTES	AionianClean	bytes / chars	6630552 / 6278859 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	018-JOB-026-006	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	042-LUK-001-055	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	044-ACT-002-027	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	045-ROM-016-026	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	048-GAL-001-004	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	048-GAL-001-005	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	048-GAL-006-008	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	058-HEB-006-002	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	058-HEB-006-005	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	060-1PE-001-025	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	missing-verse	11	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	aionian-verses	253	NOTICE
Aruamu---Aruamu-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
