# File Name: Holy-Bible---Holy-Bible---Arumanisht---Aromanian-Bible---Analysis.txt
# File Size: 20198       
# File Date: 12/13/2025 05:10:41
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Biblija tu limba Rrãmãnã
# Bible Name English: Aromanian Bible
# Bible Language: Armãneashti
# Bible Language English: Aromanian
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=rup
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Arumanisht---Aromanian-Bible	ENCODING	Source	Holy-Bible---Arumanisht---Aromanian-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Arumanisht---Aromanian-Bible	ENCODING	Aionian	Holy-Bible---Arumanisht---Aromanian-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Arumanisht---Aromanian-Bible	BYTES	Source	bytes / chars	288285 / 271427 (multi-byte)	NOTICE
Arumanisht---Aromanian-Bible	BYTES	Aionian	bytes / chars	304667 / 287757 (multi-byte)	NOTICE
Arumanisht---Aromanian-Bible	BYTES	SourceClean	bytes / chars	287458 / 270600 (multi-byte)	NOTICE
Arumanisht---Aromanian-Bible	BYTES	AionianClean	bytes / chars	303075 / 286169 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	book-defined-not-exist	208	NOTICE
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	aionian-verses	56	NOTICE
Arumanisht---Aromanian-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Arumanisht---Aromanian-Bible	UNPRINTABLE	Source	count	0	NOTICE
Arumanisht---Aromanian-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Arumanisht---Aromanian-Bible	UNICODE	Summary	(-)Orginal	42	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Summary	(+)Aionian	46	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : (M)	2243	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : (T)	1694	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : ( )	43012	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : (1)	2079	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : (:)	2966	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : (t)	14626	NOTICE
Arumanisht---Aromanian-Bible	UNICODE	Source(-)	Basic Latin : (s)	16665	NOTICE
