# File Name: Holy-Bible---Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible---Analysis.txt
# File Size: 83673       
# File Date: 12/13/2025 05:11:24
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kɔrɔmba
# Bible Name English: Basa-Gurmana Bible
# Bible Language: Kɔrɔmba
# Bible Language English: Basa-Gurmana
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=buj
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Basa-Gurmana---Basa-Gurmana-Bible	ENCODING	Source	Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	ENCODING	Aionian	Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Basa-Gurmana---Basa-Gurmana-Bible	BYTES	Source	bytes / chars	144556 / 140183 (multi-byte)	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	BYTES	Aionian	bytes / chars	153233 / 147065 (multi-byte)	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	BYTES	SourceClean	bytes / chars	126400 / 122547 (multi-byte)	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	BYTES	AionianClean	bytes / chars	151936 / 145772 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	book-defined-not-exist	242	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	aionian-verses	22	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Basa-Gurmana---Basa-Gurmana-Bible	UNPRINTABLE	Source	count	0	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Basa-Gurmana---Basa-Gurmana-Bible	UNICODE	Summary	(-)Orginal	63	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	UNICODE	Summary	(+)Aionian	68	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	UNICODE	Source(-)	Basic Latin : (M)	1158	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	UNICODE	Source(-)	Basic Latin : (A)	1615	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	UNICODE	Source(-)	Basic Latin : (T)	1125	NOTICE
Basa-Gurmana---Basa-Gurmana-Bible	UNICODE	Source(-)	Basic Latin : ( )	23234	NOTICE
