# File Name: Holy-Bible---Holy-Bible---Beami---Bedamuni-Bible---Analysis.txt
# File Size: 802010      
# File Date: 12/13/2025 05:11:29
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Gode Ea Sia: Ida:Iwane Gala
# Bible Name English: Bedamuni Bible
# Bible Language: Bedamuni
# Bible Language English: Beami
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Tom Hoey
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=beo
# Bible Source Year: 2000
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Beami---Bedamuni-Bible	ENCODING	Source	Holy-Bible---Beami---Bedamuni-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Beami---Bedamuni-Bible	ENCODING	Aionian	Holy-Bible---Beami---Bedamuni-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Beami---Bedamuni-Bible	BYTES	Source	bytes / chars	5218402 / 5184676 (multi-byte)	NOTICE
Beami---Bedamuni-Bible	BYTES	Aionian	bytes / chars	5420777 / 5386864 (multi-byte)	NOTICE
Beami---Bedamuni-Bible	BYTES	SourceClean	bytes / chars	5217587 / 5183861 (multi-byte)	NOTICE
Beami---Bedamuni-Bible	BYTES	AionianClean	bytes / chars	5417236 / 5383323 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-verse	018-JOB-007-009	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-verse	045-ROM-016-026	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-verse	058-HEB-006-002	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	missing-verse	5	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	aionian-verses	259	NOTICE
Beami---Bedamuni-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Beami---Bedamuni-Bible	UNPRINTABLE	Source	count	0	NOTICE
Beami---Bedamuni-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Beami---Bedamuni-Bible	UNICODE	Summary	(-)Orginal	60	NOTICE
Beami---Bedamuni-Bible	UNICODE	Summary	(+)Aionian	64	NOTICE
Beami---Bedamuni-Bible	UNICODE	Source(-)	Basic Latin : (G)	21404	NOTICE
Beami---Bedamuni-Bible	UNICODE	Source(-)	Basic Latin : (E)	28565	NOTICE
Beami---Bedamuni-Bible	UNICODE	Source(-)	Basic Latin : (N)	19041	NOTICE
