# File Name: Holy-Bible---Holy-Bible---Bengali---Contemporary---Analysis.txt
# File Size: 512125      
# File Date: 12/13/2025 05:12:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: মুক্তভাবে বাংলা সমকালীন সংস্করণের
# Bible Name English: Open Bengali Contemporary Bible
# Bible Language: বাংলা
# Bible Language English: Bengali
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=benobcv
# Bible Source Year: 2007, 2017, 2019
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Bengali---Contemporary	ENCODING	Source	Holy-Bible---Bengali---Contemporary---Source-Edition.VPL.txt	UTF-8	NOTICE
Bengali---Contemporary	ENCODING	Aionian	Holy-Bible---Bengali---Contemporary---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Bengali---Contemporary	BYTES	Source	bytes / chars	10705855 / 4235123 (multi-byte)	NOTICE
Bengali---Contemporary	BYTES	Aionian	bytes / chars	10919114 / 4448568 (multi-byte)	NOTICE
Bengali---Contemporary	BYTES	SourceClean	bytes / chars	10705017 / 4234285 (multi-byte)	NOTICE
Bengali---Contemporary	BYTES	AionianClean	bytes / chars	10913711 / 4444661 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Bengali---Contemporary	AIONIAN	Aionian	book-not-exist	0	NOTICE
Bengali---Contemporary	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Bengali---Contemporary	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Bengali---Contemporary	AIONIAN	Aionian	missing-chapter	0	NOTICE
Bengali---Contemporary	AIONIAN	Aionian	missing-verse	0	NOTICE
Bengali---Contemporary	AIONIAN	Aionian	aionian-verses	264	NOTICE
Bengali---Contemporary	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Bengali---Contemporary	UNPRINTABLE	Source	count	0	NOTICE
Bengali---Contemporary	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Bengali---Contemporary	UNICODE	Summary	(-)Orginal	29	NOTICE
Bengali---Contemporary	UNICODE	Summary	(+)Aionian	50	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : ( )	672104	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (1)	30752	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (:)	32874	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (\n)	31100	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (2)	22018	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (,)	49052	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (3)	12468	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (4)	9319	NOTICE
Bengali---Contemporary	UNICODE	Source(-)	Basic Latin : (5)	7243	NOTICE
