# File Name: Holy-Bible---Holy-Bible---Bhattiyali---Bhattiyali-Bible---Analysis.txt
# File Size: 34735       
# File Date: 12/13/2025 05:12:26
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: भटियाली नोआ नियम
# Bible Name English: Bhattiyali Bible
# Bible Language: भटियाली‎
# Bible Language English: Bhattiyali
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Love Fellowship
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=bht
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Bhattiyali---Bhattiyali-Bible	ENCODING	Source	Holy-Bible---Bhattiyali---Bhattiyali-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Bhattiyali---Bhattiyali-Bible	ENCODING	Aionian	Holy-Bible---Bhattiyali---Bhattiyali-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Bhattiyali---Bhattiyali-Bible	BYTES	Source	bytes / chars	2934964 / 1192524 (multi-byte)	NOTICE
Bhattiyali---Bhattiyali-Bible	BYTES	Aionian	bytes / chars	2993612 / 1250500 (multi-byte)	NOTICE
Bhattiyali---Bhattiyali-Bible	BYTES	SourceClean	bytes / chars	2934135 / 1191695 (multi-byte)	NOTICE
Bhattiyali---Bhattiyali-Bible	BYTES	AionianClean	bytes / chars	2990907 / 1248281 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	049-EPH-006-012	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	058-HEB-009-026	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	065-JUD-001-025	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	066-REV-001-006	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	066-REV-004-010	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	066-REV-015-007	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-003	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-013	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-015	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	missing-verse	10	NOTICE
Bhattiyali---Bhattiyali-Bible	AIONIAN	Aionian	aionian-verses	190	NOTICE
