# File Name: Holy-Bible---Holy-Bible---Blackfoot---Matthew---Analysis.txt
# File Size: 14105       
# File Date: 12/13/2025 05:12:36
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ŏkhs' I Tsĭn Ik Sĭn Ni Matthew Ot Sĭn Ai Pi
# Bible Name English: Blackfoot Matthew
# Bible Language: Siksiká
# Bible Language English: Blackfoot
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: British and Foreign Bible Society
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=bla
# Bible Source Year: 1890
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Blackfoot---Matthew	ENCODING	Source	Holy-Bible---Blackfoot---Matthew---Source-Edition.VPL.txt	UTF-8	NOTICE
Blackfoot---Matthew	ENCODING	Aionian	Holy-Bible---Blackfoot---Matthew---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Blackfoot---Matthew	BYTES	Source	bytes / chars	149402 / 140044 (multi-byte)	NOTICE
Blackfoot---Matthew	BYTES	Aionian	bytes / chars	157163 / 147785 (multi-byte)	NOTICE
Blackfoot---Matthew	BYTES	SourceClean	bytes / chars	148623 / 139265 (multi-byte)	NOTICE
Blackfoot---Matthew	BYTES	AionianClean	bytes / chars	155888 / 146515 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Blackfoot---Matthew	AIONIAN	Aionian	book-not-exist	242	NOTICE
Blackfoot---Matthew	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Blackfoot---Matthew	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Blackfoot---Matthew	AIONIAN	Aionian	missing-chapter	0	NOTICE
Blackfoot---Matthew	AIONIAN	Aionian	missing-verse	0	NOTICE
Blackfoot---Matthew	AIONIAN	Aionian	aionian-verses	22	NOTICE
Blackfoot---Matthew	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Blackfoot---Matthew	UNPRINTABLE	Source	count	0	NOTICE
Blackfoot---Matthew	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Blackfoot---Matthew	UNICODE	Summary	(-)Orginal	23	NOTICE
Blackfoot---Matthew	UNICODE	Summary	(+)Aionian	25	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : ( )	12206	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (1)	871	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (:)	1328	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (e)	2370	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (s)	12997	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (i)	15065	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (a)	12554	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (d)	99	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (o)	6519	NOTICE
Blackfoot---Matthew	UNICODE	Source(-)	Basic Latin : (n)	6047	NOTICE
