# File Name: Holy-Bible---Holy-Bible---Bodo-Parja---BOPO-Bible---Analysis.txt
# File Size: 43392       
# File Date: 12/13/2025 05:12:38
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌
# Bible Name English: Bodo Parja: BOPO Bible
# Bible Language: ବଡ଼ ପରଜା
# Bible Language English: Bodo Parja
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=bdv
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Bodo-Parja---BOPO-Bible	ENCODING	Source	Holy-Bible---Bodo-Parja---BOPO-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Bodo-Parja---BOPO-Bible	ENCODING	Aionian	Holy-Bible---Bodo-Parja---BOPO-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Bodo-Parja---BOPO-Bible	BYTES	Source	bytes / chars	3155989 / 1221703 (multi-byte)	NOTICE
Bodo-Parja---BOPO-Bible	BYTES	Aionian	bytes / chars	3214091 / 1279219 (multi-byte)	NOTICE
Bodo-Parja---BOPO-Bible	BYTES	SourceClean	bytes / chars	3155183 / 1220897 (multi-byte)	NOTICE
Bodo-Parja---BOPO-Bible	BYTES	AionianClean	bytes / chars	3211534 / 1277060 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Bodo-Parja---BOPO-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Bodo-Parja---BOPO-Bible	UNPRINTABLE	Source	count	0	NOTICE
Bodo-Parja---BOPO-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Bodo-Parja---BOPO-Bible	UNICODE	Summary	(-)Orginal	27	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Source(-)	Basic Latin : ( )	174339	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Bodo-Parja---BOPO-Bible	UNICODE	Source(-)	Basic Latin : (:)	7959	NOTICE
