# File Name: Holy-Bible---Holy-Bible---Bondei---Bondei-Bible---Analysis.txt
# File Size: 16130       
# File Date: 12/13/2025 05:12:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bondei Bible
# Bible Name English: Bondei Bible
# Bible Language: Bondei
# Bible Language English: Bondei
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=bou
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Bondei---Bondei-Bible	ENCODING	Source	Holy-Bible---Bondei---Bondei-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Bondei---Bondei-Bible	ENCODING	Aionian	Holy-Bible---Bondei---Bondei-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Bondei---Bondei-Bible	BYTES	Source	bytes / chars	479290 / 472512 (multi-byte)	NOTICE
Bondei---Bondei-Bible	BYTES	Aionian	bytes / chars	505983 / 499141 (multi-byte)	NOTICE
Bondei---Bondei-Bible	BYTES	SourceClean	bytes / chars	478477 / 471699 (multi-byte)	NOTICE
Bondei---Bondei-Bible	BYTES	AionianClean	bytes / chars	504623 / 497781 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Bondei---Bondei-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Bondei---Bondei-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Bondei---Bondei-Bible	AIONIAN	Aionian	book-defined-not-exist	193	NOTICE
Bondei---Bondei-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Bondei---Bondei-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Bondei---Bondei-Bible	AIONIAN	Aionian	aionian-verses	71	NOTICE
Bondei---Bondei-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Bondei---Bondei-Bible	UNPRINTABLE	Source	count	0	NOTICE
Bondei---Bondei-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Bondei---Bondei-Bible	UNICODE	Summary	(-)Orginal	38	NOTICE
Bondei---Bondei-Bible	UNICODE	Summary	(+)Aionian	45	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (M)	4309	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (A)	2610	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (T)	1393	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : ( )	69709	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (1)	3271	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (:)	3779	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (i)	30174	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (t)	8457	NOTICE
Bondei---Bondei-Bible	UNICODE	Source(-)	Basic Latin : (a)	70689	NOTICE
