# File Name: Holy-Bible---Holy-Bible---Bu---Bu-Bible---Analysis.txt
# File Size: 34324       
# File Date: 12/13/2025 05:12:48
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Jida Bible
# Bible Name English: Bu Bible
# Bible Language: Jida
# Bible Language English: Bu
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bu, Bwuh, NBTT
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=jid
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Bu---Bu-Bible	ENCODING	Source	Holy-Bible---Bu---Bu-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Bu---Bu-Bible	ENCODING	Aionian	Holy-Bible---Bu---Bu-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Bu---Bu-Bible	BYTES	Source	bytes / chars	869008 / 865064 (multi-byte)	NOTICE
Bu---Bu-Bible	BYTES	Aionian	bytes / chars	927452 / 923320 (multi-byte)	NOTICE
Bu---Bu-Bible	BYTES	SourceClean	bytes / chars	868211 / 864267 (multi-byte)	NOTICE
Bu---Bu-Bible	BYTES	AionianClean	bytes / chars	925297 / 921165 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Bu---Bu-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Bu---Bu-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Bu---Bu-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Bu---Bu-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Bu---Bu-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Bu---Bu-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Bu---Bu-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Bu---Bu-Bible	UNPRINTABLE	Source	count	0	NOTICE
Bu---Bu-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Bu---Bu-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Bu---Bu-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (M)	3613	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (A)	4807	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (T)	3008	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : ( )	188945	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (1)	8060	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (:)	8003	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (V)	490	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (u)	39621	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (e)	29971	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (s)	15156	NOTICE
Bu---Bu-Bible	UNICODE	Source(-)	Basic Latin : (r)	24437	NOTICE
