# File Name: Holy-Bible---Holy-Bible---Bugun---Bugun-Bible---Analysis.txt
# File Size: 39281       
# File Date: 12/13/2025 05:12:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Iwo Surua Mua Wie Pha Bible
# Bible Name English: Bugun Bible
# Bible Language: Khowa
# Bible Language English: Bugun
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=bgg
# Bible Source Year: 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Bugun---Bugun-Bible	ENCODING	Source	Holy-Bible---Bugun---Bugun-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Bugun---Bugun-Bible	ENCODING	Aionian	Holy-Bible---Bugun---Bugun-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Bugun---Bugun-Bible	BYTES	Source	bytes / chars	1297320 / 1266958 (multi-byte)	NOTICE
Bugun---Bugun-Bible	BYTES	Aionian	bytes / chars	1355693 / 1325143 (multi-byte)	NOTICE
Bugun---Bugun-Bible	BYTES	SourceClean	bytes / chars	1296391 / 1266033 (multi-byte)	NOTICE
Bugun---Bugun-Bible	BYTES	AionianClean	bytes / chars	1353516 / 1322966 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Bugun---Bugun-Bible	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	aionian-verses	199	NOTICE
Bugun---Bugun-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Bugun---Bugun-Bible	UNPRINTABLE	Source	count	0	NOTICE
Bugun---Bugun-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Bugun---Bugun-Bible	UNICODE	Summary	(-)Orginal	54	NOTICE
Bugun---Bugun-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (M)	3728	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (A)	4700	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (T)	2967	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : ( )	240444	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (1)	8005	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (:)	8313	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (H)	4983	NOTICE
Bugun---Bugun-Bible	UNICODE	Source(-)	Basic Latin : (n)	65196	NOTICE
