# File Name: Holy-Bible---Holy-Bible---Calo---Calo-Bible---Analysis.txt
# File Size: 15377       
# File Date: 12/13/2025 05:13:10
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Evangelio Español Romaní de Lucas
# Bible Name English: Calo Gospel of Luke
# Bible Language: Romaní
# Bible Language English: Calo
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: George Borrow and the British and Foreign Bible Society
# Bible Source Version: 7/17/2013
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Calo
# Bible Source Year: 1836, 1872
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Calo---Calo-Bible	ENCODING	Source	Holy-Bible---Calo---Calo-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Calo---Calo-Bible	ENCODING	Aionian	Holy-Bible---Calo---Calo-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Calo---Calo-Bible	BYTES	Source	bytes / chars	155828 / 150888 (multi-byte)	NOTICE
Calo---Calo-Bible	BYTES	Aionian	bytes / chars	160081 / 155275 (multi-byte)	NOTICE
Calo---Calo-Bible	BYTES	SourceClean	bytes / chars	152745 / 147805 (multi-byte)	NOTICE
Calo---Calo-Bible	BYTES	AionianClean	bytes / chars	158779 / 153976 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Calo---Calo-Bible	AIONIAN	Aionian	book-not-exist	250	NOTICE
Calo---Calo-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Calo---Calo-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Calo---Calo-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Calo---Calo-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Calo---Calo-Bible	AIONIAN	Aionian	aionian-verses	14	NOTICE
Calo---Calo-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Calo---Calo-Bible	UNPRINTABLE	Source	count	0	NOTICE
Calo---Calo-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Calo---Calo-Bible	UNICODE	Summary	(-)Orginal	35	NOTICE
Calo---Calo-Bible	UNICODE	Summary	(+)Aionian	38	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : ( )	24568	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (T)	175	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (e)	12989	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (s)	9098	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (t)	2615	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (a)	14504	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (m)	2156	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (n)	7182	NOTICE
Calo---Calo-Bible	UNICODE	Source(-)	Basic Latin : (2)	820	NOTICE
