# File Name: Holy-Bible---Holy-Bible---Cebuano---Cebuano-Bible---Analysis.txt
# File Size: 626170      
# File Date: 12/13/2025 05:13:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Balaan nga Bibliya
# Bible Name English: Cebuano Bible
# Bible Language: Cebuano
# Bible Language English: Cebuano
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Door43 World Missions Community
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cebulb
# Bible Source Year: 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Cebuano---Cebuano-Bible	ENCODING	Source	Holy-Bible---Cebuano---Cebuano-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Cebuano---Cebuano-Bible	ENCODING	Aionian	Holy-Bible---Cebuano---Cebuano-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Cebuano---Cebuano-Bible	BYTES	Source	bytes / chars	5261643 / 5235476 (multi-byte)	NOTICE
Cebuano---Cebuano-Bible	BYTES	Aionian	bytes / chars	5476634 / 5450279 (multi-byte)	NOTICE
Cebuano---Cebuano-Bible	BYTES	SourceClean	bytes / chars	5260820 / 5234653 (multi-byte)	NOTICE
Cebuano---Cebuano-Bible	BYTES	AionianClean	bytes / chars	5473139 / 5446784 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Cebuano---Cebuano-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Cebuano---Cebuano-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Cebuano---Cebuano-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Cebuano---Cebuano-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Cebuano---Cebuano-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Cebuano---Cebuano-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Cebuano---Cebuano-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Cebuano---Cebuano-Bible	UNPRINTABLE	Source	count	0	NOTICE
Cebuano---Cebuano-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Cebuano---Cebuano-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (G)	8461	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (E)	13766	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : ( )	865894	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (1)	30970	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (:)	32182	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (S)	14620	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (a)	945967	NOTICE
Cebuano---Cebuano-Bible	UNICODE	Source(-)	Basic Latin : (s)	202273	NOTICE
