# File Name: Holy-Bible---Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms---Analysis.txt
# File Size: 23614       
# File Date: 12/13/2025 05:13:48
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Y Cuatro Ebangelio Sija Yan Y Checho Y Apostoles Yan Y Salmo Sija
# Bible Name English: Chamorro Gospels, Acts, Psalms
# Bible Language: Chamorro
# Bible Language English: Chamorro
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: American Bible Society
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cha
# Bible Source Year: 1908
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chamorro---Chamorro-Gospels-Acts-and-Psalms	ENCODING	Source	Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms---Source-Edition.VPL.txt	UTF-8	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	ENCODING	Aionian	Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chamorro---Chamorro-Gospels-Acts-and-Psalms	BYTES	Source	bytes / chars	865146 / 852701 (multi-byte)	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	BYTES	Aionian	bytes / chars	914151 / 901636 (multi-byte)	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	BYTES	SourceClean	bytes / chars	864319 / 851874 (multi-byte)	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	BYTES	AionianClean	bytes / chars	912650 / 900135 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	book-not-exist	172	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	missing-verse	0	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	aionian-verses	92	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	UNPRINTABLE	Source	count	0	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	UNICODE	Summary	(-)Orginal	44	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	UNICODE	Summary	(+)Aionian	48	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	UNICODE	Source(-)	Basic Latin : (S)	4329	NOTICE
Chamorro---Chamorro-Gospels-Acts-and-Psalms	UNICODE	Source(-)	Basic Latin : (A)	6441	NOTICE
