# File Name: Holy-Bible---Holy-Bible---Cherokee---Cherokee-New-Testament---Analysis.txt
# File Size: 27426       
# File Date: 12/13/2025 05:13:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ
# Bible Name English: Cherokee New Testament 1860
# Bible Language: ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ
# Bible Language English: Cherokee
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: American Bible Society and CherokeeNewTestament.org
# Bible Source Version: 4/23/2021
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Che1860
# Bible Source Year: 1860
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Cherokee---Cherokee-New-Testament	ENCODING	Source	Holy-Bible---Cherokee---Cherokee-New-Testament---Source-Edition.SWORD.txt	UTF-8	NOTICE
Cherokee---Cherokee-New-Testament	ENCODING	Aionian	Holy-Bible---Cherokee---Cherokee-New-Testament---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Cherokee---Cherokee-New-Testament	BYTES	Source	bytes / chars	2577163 / 1584845 (multi-byte)	NOTICE
Cherokee---Cherokee-New-Testament	BYTES	Aionian	bytes / chars	1766490 / 773156 (multi-byte)	NOTICE
Cherokee---Cherokee-New-Testament	BYTES	SourceClean	bytes / chars	1742161 / 749843 (multi-byte)	NOTICE
Cherokee---Cherokee-New-Testament	BYTES	AionianClean	bytes / chars	1763197 / 770691 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	book-not-exist	64	NOTICE
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	missing-chapter	0	NOTICE
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	missing-verse	0	NOTICE
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	aionian-verses	200	NOTICE
Cherokee---Cherokee-New-Testament	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Cherokee---Cherokee-New-Testament	UNPRINTABLE	Source	count	0	NOTICE
Cherokee---Cherokee-New-Testament	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Cherokee---Cherokee-New-Testament	UNICODE	Summary	(-)Orginal	54	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Summary	(+)Aionian	62	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Source(-)	Basic Latin : ([)	215	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Source(-)	Basic Latin : ( )	127680	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Source(-)	Basic Latin : (e)	4595	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Source(-)	Basic Latin : (s)	4020	NOTICE
Cherokee---Cherokee-New-Testament	UNICODE	Source(-)	Basic Latin : (t)	4980	NOTICE
