# File Name: Holy-Bible---Holy-Bible---Chin-Daai---Daai-Chin-Bible---Analysis.txt
# File Size: 37637       
# File Date: 12/13/2025 05:14:23
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Dai Cangcim Kthai
# Bible Name English: Daai Chin Bible
# Bible Language: Daai
# Bible Language English: Chin, Daai
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=dao
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chin-Daai---Daai-Chin-Bible	ENCODING	Source	Holy-Bible---Chin-Daai---Daai-Chin-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Chin-Daai---Daai-Chin-Bible	ENCODING	Aionian	Holy-Bible---Chin-Daai---Daai-Chin-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chin-Daai---Daai-Chin-Bible	BYTES	Source	bytes / chars	1101566 / 1054924 (multi-byte)	NOTICE
Chin-Daai---Daai-Chin-Bible	BYTES	Aionian	bytes / chars	1160040 / 1113209 (multi-byte)	NOTICE
Chin-Daai---Daai-Chin-Bible	BYTES	SourceClean	bytes / chars	1100752 / 1054110 (multi-byte)	NOTICE
Chin-Daai---Daai-Chin-Bible	BYTES	AionianClean	bytes / chars	1157874 / 1111044 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	missing-verse	051-COL-001-026	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	missing-verse	2	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	aionian-verses	198	NOTICE
Chin-Daai---Daai-Chin-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chin-Daai---Daai-Chin-Bible	UNPRINTABLE	Source	count	0	NOTICE
Chin-Daai---Daai-Chin-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chin-Daai---Daai-Chin-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Chin-Daai---Daai-Chin-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Chin-Daai---Daai-Chin-Bible	UNICODE	Source(-)	Basic Latin : (M)	3385	NOTICE
Chin-Daai---Daai-Chin-Bible	UNICODE	Source(-)	Basic Latin : (A)	8267	NOTICE
Chin-Daai---Daai-Chin-Bible	UNICODE	Source(-)	Basic Latin : (T)	3245	NOTICE
Chin-Daai---Daai-Chin-Bible	UNICODE	Source(-)	Basic Latin : ( )	193442	NOTICE
