# File Name: Holy-Bible---Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible---Analysis.txt
# File Size: 40684       
# File Date: 12/13/2025 05:14:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Asang Khongca Bible
# Bible Name English: Eastern Khumi Chin Bible
# Bible Language: Asaang Khongca
# Bible Language English: Chin, Eastern Khumi
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Translators anonymous for security reasons
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cekak
# Bible Source Year: 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chin-Eastern-Khumi---Asang-Khongca-Bible	ENCODING	Source	Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	ENCODING	Aionian	Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chin-Eastern-Khumi---Asang-Khongca-Bible	BYTES	Source	bytes / chars	4834804 / 4834794 (multi-byte)	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	BYTES	Aionian	bytes / chars	5048859 / 5048661 (multi-byte)	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	BYTES	SourceClean	bytes / chars	4833979 / 4833969 (multi-byte)	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	BYTES	AionianClean	bytes / chars	5045351 / 5045153 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNPRINTABLE	Source	count	0	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNICODE	Source(-)	Basic Latin : (G)	3502	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNICODE	Source(-)	Basic Latin : ( )	859370	NOTICE
Chin-Eastern-Khumi---Asang-Khongca-Bible	UNICODE	Source(-)	Basic Latin : (1)	30428	NOTICE
