# File Name: Holy-Bible---Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Analysis.txt
# File Size: 20475       
# File Date: 12/13/2025 05:14:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Baibal Olcim
# Bible Name English: Matupi Chin Standard Bible
# Bible Language: Matupi Chin
# Bible Language English: Chin, Matu
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Published in Myanmar independent of international copyright treaties
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=hlt
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chin-Matu---Matupi-Chin-Bible	ENCODING	Source	Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Chin-Matu---Matupi-Chin-Bible	ENCODING	Aionian	Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chin-Matu---Matupi-Chin-Bible	BYTES	Source	bytes / chars	4347442 / 4324302 (multi-byte)	NOTICE
Chin-Matu---Matupi-Chin-Bible	BYTES	Aionian	bytes / chars	4561466 / 4538158 (multi-byte)	NOTICE
Chin-Matu---Matupi-Chin-Bible	BYTES	SourceClean	bytes / chars	4346643 / 4323503 (multi-byte)	NOTICE
Chin-Matu---Matupi-Chin-Bible	BYTES	AionianClean	bytes / chars	4557968 / 4534660 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Chin-Matu---Matupi-Chin-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chin-Matu---Matupi-Chin-Bible	UNPRINTABLE	Source	count	0	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Summary	(-)Orginal	52	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Source(-)	Basic Latin : (G)	3337	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Source(-)	Basic Latin : (E)	19658	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Source(-)	Basic Latin : ( )	820021	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Source(-)	Basic Latin : (1)	30447	NOTICE
Chin-Matu---Matupi-Chin-Bible	UNICODE	Source(-)	Basic Latin : (:)	31105	NOTICE
