# File Name: Holy-Bible---Holy-Bible---Chinese---Chinese-Sigao-Bible---Analysis.txt
# File Size: 931751      
# File Date: 12/13/2025 05:15:30
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 思高本 聖經：思高聖經學會譯釋
# Bible Name English: Sīgāo Běn, Bible
# Bible Language: 漢語
# Bible Language English: Chinese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Sīgāo Bible Society
# Bible Source Version: 2/5/2021
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=ChiSB
# Bible Source Year: 1944-1960
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chinese---Chinese-Sigao-Bible	ENCODING	Source	Holy-Bible---Chinese---Chinese-Sigao-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Chinese---Chinese-Sigao-Bible	ENCODING	Aionian	Holy-Bible---Chinese---Chinese-Sigao-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chinese---Chinese-Sigao-Bible	BYTES	Source	bytes / chars	4579725 / 2024521 (multi-byte)	NOTICE
Chinese---Chinese-Sigao-Bible	BYTES	Aionian	bytes / chars	3895344 / 1660022 (multi-byte)	NOTICE
Chinese---Chinese-Sigao-Bible	BYTES	SourceClean	bytes / chars	4385983 / 1830779 (multi-byte)	NOTICE
Chinese---Chinese-Sigao-Bible	BYTES	AionianClean	bytes / chars	3891566 / 1656791 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Chinese---Chinese-Sigao-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chinese---Chinese-Sigao-Bible	UNPRINTABLE	Source	Joshua 13:13 以色列子民郤沒有趕走革叔爾人和瑪阿加人，因此革叔爾和瑪阿加人直到+?+直到現在仍住在以色列人中間。	()	WARN
Chinese---Chinese-Sigao-Bible	UNPRINTABLE	Source	Jeremiah 31:20 厄弗辣因豈+?+?是我的寵兒，我鍾愛嬌子﹖因為我幾時恐嚇他，反倒更顧念他；對他我五內感動，不得不大施愛憐──上主的斷語」。	()	WARN
Chinese---Chinese-Sigao-Bible	UNPRINTABLE	Source	count	2	WARN
Chinese---Chinese-Sigao-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chinese---Chinese-Sigao-Bible	UNICODE	Summary	(-)Orginal	2943	NOTICE
Chinese---Chinese-Sigao-Bible	UNICODE	Summary	(+)Aionian	2839	NOTICE
Chinese---Chinese-Sigao-Bible	UNICODE	Source(-)	Basic Latin : ([)	296	NOTICE
