# File Name: Holy-Bible---Holy-Bible---Chinese---Chinese-Union-Version-Traditional---Analysis.txt
# File Size: 341144      
# File Date: 12/13/2025 05:15:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 新標點和合本
# Bible Name English: Chinese Union Version Traditional
# Bible Language: 漢語
# Bible Language English: Chinese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Calvin Mateer et al and China Christian Council or Hong Kong Bible Society
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cmn-cu89t
# Bible Source Year: 1919
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chinese---Chinese-Union-Version-Traditional	ENCODING	Source	Holy-Bible---Chinese---Chinese-Union-Version-Traditional---Source-Edition.VPL.txt	UTF-8	NOTICE
Chinese---Chinese-Union-Version-Traditional	ENCODING	Aionian	Holy-Bible---Chinese---Chinese-Union-Version-Traditional---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chinese---Chinese-Union-Version-Traditional	BYTES	Source	bytes / chars	3519057 / 1400245 (multi-byte)	NOTICE
Chinese---Chinese-Union-Version-Traditional	BYTES	Aionian	bytes / chars	3726535 / 1607291 (multi-byte)	NOTICE
Chinese---Chinese-Union-Version-Traditional	BYTES	SourceClean	bytes / chars	3518218 / 1399406 (multi-byte)	NOTICE
Chinese---Chinese-Union-Version-Traditional	BYTES	AionianClean	bytes / chars	3722722 / 1604004 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	book-not-exist	0	NOTICE
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	missing-verse	0	NOTICE
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	aionian-verses	264	NOTICE
Chinese---Chinese-Union-Version-Traditional	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chinese---Chinese-Union-Version-Traditional	UNPRINTABLE	Source	count	0	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Summary	(-)Orginal	33	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Summary	(+)Aionian	58	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Source(-)	Basic Latin : (G)	2336	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Source(-)	Basic Latin : (E)	10889	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Source(-)	Basic Latin : ( )	75524	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Source(-)	Basic Latin : (1)	30374	NOTICE
Chinese---Chinese-Union-Version-Traditional	UNICODE	Source(-)	Basic Latin : (:)	31021	NOTICE
