# File Name: Holy-Bible---Holy-Bible---Chiyawo---Yao---Analysis.txt
# File Size: 15816       
# File Date: 12/13/2025 05:16:02
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Lilangano lya Sambano
# Bible Name English: Yao New Testament
# Bible Language: Ciyawo
# Bible Language English: Ciyawo
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Pioneers.org
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=yao
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chiyawo---Yao	ENCODING	Source	Holy-Bible---Chiyawo---Yao---Source-Edition.VPL.txt	UTF-8	NOTICE
Chiyawo---Yao	ENCODING	Aionian	Holy-Bible---Chiyawo---Yao---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chiyawo---Yao	BYTES	Source	bytes / chars	1256366 / 1218977 (multi-byte)	NOTICE
Chiyawo---Yao	BYTES	Aionian	bytes / chars	1315008 / 1277421 (multi-byte)	NOTICE
Chiyawo---Yao	BYTES	SourceClean	bytes / chars	1255580 / 1218191 (multi-byte)	NOTICE
Chiyawo---Yao	BYTES	AionianClean	bytes / chars	1312851 / 1275274 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chiyawo---Yao	AIONIAN	Aionian	book-not-exist	0	NOTICE
Chiyawo---Yao	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chiyawo---Yao	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Chiyawo---Yao	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chiyawo---Yao	AIONIAN	Aionian	missing-verse	0	NOTICE
Chiyawo---Yao	AIONIAN	Aionian	aionian-verses	200	NOTICE
Chiyawo---Yao	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chiyawo---Yao	UNPRINTABLE	Source	count	0	NOTICE
Chiyawo---Yao	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chiyawo---Yao	UNICODE	Summary	(-)Orginal	46	NOTICE
Chiyawo---Yao	UNICODE	Summary	(+)Aionian	54	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (M)	5075	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (A)	8267	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (T)	2795	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : ( )	160929	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (:)	7996	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (c)	23402	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (h)	26992	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (i)	88354	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (l)	63076	NOTICE
Chiyawo---Yao	UNICODE	Source(-)	Basic Latin : (t)	20722	NOTICE
