# File Name: Holy-Bible---Holy-Bible---Cishingini---Cishingini-Bible---Analysis.txt
# File Size: 939267      
# File Date: 12/13/2025 05:16:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Cishingini Shingini Bible
# Bible Name English: Cishingini Shingini Bible
# Bible Language: Cishingini Shingini
# Bible Language English: Cishingini Shingini
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=asg
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Cishingini---Cishingini-Bible	ENCODING	Source	Holy-Bible---Cishingini---Cishingini-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Cishingini---Cishingini-Bible	ENCODING	Aionian	Holy-Bible---Cishingini---Cishingini-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Cishingini---Cishingini-Bible	BYTES	Source	bytes / chars	3313313 / 3098372 (multi-byte)	NOTICE
Cishingini---Cishingini-Bible	BYTES	Aionian	bytes / chars	3448520 / 3214416 (multi-byte)	NOTICE
Cishingini---Cishingini-Bible	BYTES	SourceClean	bytes / chars	3028355 / 2834264 (multi-byte)	NOTICE
Cishingini---Cishingini-Bible	BYTES	AionianClean	bytes / chars	3446210 / 3212109 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Cishingini---Cishingini-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Cishingini---Cishingini-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Cishingini---Cishingini-Bible	AIONIAN	Aionian	book-defined-not-exist	215	NOTICE
Cishingini---Cishingini-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Cishingini---Cishingini-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Cishingini---Cishingini-Bible	AIONIAN	Aionian	aionian-verses	49	NOTICE
Cishingini---Cishingini-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Cishingini---Cishingini-Bible	UNPRINTABLE	Source	count	0	NOTICE
Cishingini---Cishingini-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Cishingini---Cishingini-Bible	UNICODE	Summary	(-)Orginal	78	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Summary	(+)Aionian	80	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (G)	3262	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (E)	8125	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (N)	5712	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : ( )	580628	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (1)	18513	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (:)	19331	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (A)	14881	NOTICE
Cishingini---Cishingini-Bible	UNICODE	Source(-)	Basic Latin : (a)	468914	NOTICE
