# File Name: Holy-Bible---Holy-Bible---Coptic---Coptic-NT---Analysis.txt
# File Size: 19026       
# File Date: 12/13/2025 05:16:15
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ
# Bible Name English: Coptic New Testament
# Bible Language: ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ
# Bible Language English: Coptic
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Deir Anba Bishoi
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=copcnt
# Bible Source Year: 
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Coptic---Coptic-NT	ENCODING	Source	Holy-Bible---Coptic---Coptic-NT---Source-Edition.VPL.txt	UTF-8	NOTICE
Coptic---Coptic-NT	ENCODING	Aionian	Holy-Bible---Coptic---Coptic-NT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Coptic---Coptic-NT	BYTES	Source	bytes / chars	2299232 / 938880 (multi-byte)	NOTICE
Coptic---Coptic-NT	BYTES	Aionian	bytes / chars	2355804 / 994764 (multi-byte)	NOTICE
Coptic---Coptic-NT	BYTES	SourceClean	bytes / chars	2298449 / 938097 (multi-byte)	NOTICE
Coptic---Coptic-NT	BYTES	AionianClean	bytes / chars	2353096 / 992578 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Coptic---Coptic-NT	AIONIAN	Aionian	book-not-exist	64	NOTICE
Coptic---Coptic-NT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Coptic---Coptic-NT	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Coptic---Coptic-NT	AIONIAN	Aionian	missing-chapter	0	NOTICE
Coptic---Coptic-NT	AIONIAN	Aionian	missing-verse	0	NOTICE
Coptic---Coptic-NT	AIONIAN	Aionian	aionian-verses	200	NOTICE
Coptic---Coptic-NT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Coptic---Coptic-NT	UNPRINTABLE	Source	count	0	NOTICE
Coptic---Coptic-NT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Coptic---Coptic-NT	UNICODE	Summary	(-)Orginal	28	NOTICE
Coptic---Coptic-NT	UNICODE	Summary	(+)Aionian	52	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (A)	3012	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (T)	2501	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : ( )	139984	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (1)	8050	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (:)	7957	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (.)	9266	NOTICE
Coptic---Coptic-NT	UNICODE	Source(-)	Basic Latin : (\n)	7957	NOTICE
