# File Name: Holy-Bible---Holy-Bible---Czech---Czech-Bible-Kralicka---Analysis.txt
# File Size: 67687       
# File Date: 12/13/2025 05:16:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Czech Bible Kralicka 1613
# Bible Name English: Czech Bible Kralicka 1613
# Bible Language: Čeština
# Bible Language English: Czech
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Last edition of the 1613 Czech King
# Bible Source Version: 1/27/2023
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=CzeBKR
# Bible Source Year: 1579-1613
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Czech---Czech-Bible-Kralicka	ENCODING	Source	Holy-Bible---Czech---Czech-Bible-Kralicka---Source-Edition.SWORD.txt	UTF-8	NOTICE
Czech---Czech-Bible-Kralicka	ENCODING	Aionian	Holy-Bible---Czech---Czech-Bible-Kralicka---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Czech---Czech-Bible-Kralicka	BYTES	Source	bytes / chars	4757368 / 4374410 (multi-byte)	NOTICE
Czech---Czech-Bible-Kralicka	BYTES	Aionian	bytes / chars	4381470 / 3998313 (multi-byte)	NOTICE
Czech---Czech-Bible-Kralicka	BYTES	SourceClean	bytes / chars	4321742 / 3938784 (multi-byte)	NOTICE
Czech---Czech-Bible-Kralicka	BYTES	AionianClean	bytes / chars	4377855 / 3994773 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	book-not-exist	0	NOTICE
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	missing-chapter	0	NOTICE
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	missing-verse	0	NOTICE
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	aionian-verses	264	NOTICE
Czech---Czech-Bible-Kralicka	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Czech---Czech-Bible-Kralicka	UNPRINTABLE	Source	count	0	NOTICE
Czech---Czech-Bible-Kralicka	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Czech---Czech-Bible-Kralicka	UNICODE	Summary	(-)Orginal	70	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Summary	(+)Aionian	71	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Source(-)	Basic Latin : ( )	637496	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Source(-)	Basic Latin : (T)	4841	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Source(-)	Basic Latin : (e)	244051	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Source(-)	Basic Latin : (s)	154295	NOTICE
Czech---Czech-Bible-Kralicka	UNICODE	Source(-)	Basic Latin : (t)	143589	NOTICE
