# File Name: Holy-Bible---Holy-Bible---Czech---Living-Bible---Analysis.txt
# File Size: 62635       
# File Date: 12/13/2025 05:17:02
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Open Slovo Na Cestu
# Bible Name English: Czech Living New Testament
# Bible Language: Čeština
# Bible Language English: Czech
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=ceslb
# Bible Source Year: 1988, 2000, 2012
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Czech---Living-Bible	ENCODING	Source	Holy-Bible---Czech---Living-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Czech---Living-Bible	ENCODING	Aionian	Holy-Bible---Czech---Living-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Czech---Living-Bible	BYTES	Source	bytes / chars	975697 / 873594 (multi-byte)	NOTICE
Czech---Living-Bible	BYTES	Aionian	bytes / chars	1031609 / 929352 (multi-byte)	NOTICE
Czech---Living-Bible	BYTES	SourceClean	bytes / chars	974867 / 872764 (multi-byte)	NOTICE
Czech---Living-Bible	BYTES	AionianClean	bytes / chars	1029265 / 927036 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Czech---Living-Bible	AIONIAN	Aionian	missing-verse	040-MAT-005-030	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	missing-verse	040-MAT-012-032	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	missing-verse	045-ROM-001-025	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	missing-verse	3	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	aionian-verses	197	NOTICE
Czech---Living-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Czech---Living-Bible	UNPRINTABLE	Source	count	0	NOTICE
Czech---Living-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Czech---Living-Bible	UNICODE	Summary	(-)Orginal	56	NOTICE
Czech---Living-Bible	UNICODE	Summary	(+)Aionian	60	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : (M)	3029	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : (A)	4020	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : (T)	3616	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : ( )	144730	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : (1)	7343	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : (:)	9138	NOTICE
Czech---Living-Bible	UNICODE	Source(-)	Basic Latin : (J)	4019	NOTICE
