# File Name: Holy-Bible---Holy-Bible---Danish---Danish-Bible---Analysis.txt
# File Size: 138844      
# File Date: 12/13/2025 05:17:24
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Dansk Bibel
# Bible Name English: Danish Bible
# Bible Language: Dansk
# Bible Language English: Danish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Authorized by the Danish King
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1819-1931
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Danish---Danish-Bible	ENCODING	Source	Holy-Bible---Danish---Danish-Bible---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Danish---Danish-Bible	ENCODING	Aionian	Holy-Bible---Danish---Danish-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Danish---Danish-Bible	BYTES	Source	bytes / chars	3970329 / 3879313 (multi-byte)	NOTICE
Danish---Danish-Bible	BYTES	Aionian	bytes / chars	4153311 / 4062099 (multi-byte)	NOTICE
Danish---Danish-Bible	BYTES	SourceClean	bytes / chars	3969347 / 3878331 (multi-byte)	NOTICE
Danish---Danish-Bible	BYTES	AionianClean	bytes / chars	4149804 / 4058600 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Danish---Danish-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Danish---Danish-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Danish---Danish-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Danish---Danish-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Danish---Danish-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Danish---Danish-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Danish---Danish-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Danish---Danish-Bible	UNPRINTABLE	Source	count	0	NOTICE
Danish---Danish-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Danish---Danish-Bible	UNICODE	Summary	(-)Orginal	60	NOTICE
Danish---Danish-Bible	UNICODE	Summary	(+)Aionian	63	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (0)	17919	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (1)	39153	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (O)	30824	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (\t)	93306	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (I)	8230	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : ( )	625468	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (B)	10708	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (e)	426346	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (g)	138034	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (y)	17825	NOTICE
Danish---Danish-Bible	UNICODE	Source(-)	Basic Latin : (n)	176345	NOTICE
