# File Name: Holy-Bible---Holy-Bible---Dombe---Dombe-Bible---Analysis.txt
# File Size: 28933       
# File Date: 12/13/2025 05:18:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Dombe Bible
# Bible Name English: Dombe Bible
# Bible Language: Dombe
# Bible Language English: Dombe
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: DUBE MAKEYI S, et al
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=dov
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Dombe---Dombe-Bible	ENCODING	Source	Holy-Bible---Dombe---Dombe-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Dombe---Dombe-Bible	ENCODING	Aionian	Holy-Bible---Dombe---Dombe-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Dombe---Dombe-Bible	BYTES	Source	bytes / chars	1026212 / 1018829 (multi-byte)	NOTICE
Dombe---Dombe-Bible	BYTES	Aionian	bytes / chars	1084619 / 1077048 (multi-byte)	NOTICE
Dombe---Dombe-Bible	BYTES	SourceClean	bytes / chars	1025403 / 1018020 (multi-byte)	NOTICE
Dombe---Dombe-Bible	BYTES	AionianClean	bytes / chars	1082441 / 1074870 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Dombe---Dombe-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Dombe---Dombe-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Dombe---Dombe-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Dombe---Dombe-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Dombe---Dombe-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Dombe---Dombe-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Dombe---Dombe-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Dombe---Dombe-Bible	UNPRINTABLE	Source	count	0	NOTICE
Dombe---Dombe-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Dombe---Dombe-Bible	UNICODE	Summary	(-)Orginal	52	NOTICE
Dombe---Dombe-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (M)	5573	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (A)	4620	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (T)	3440	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : ( )	124772	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (1)	8053	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (:)	8129	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (b)	43557	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (u)	71001	NOTICE
Dombe---Dombe-Bible	UNICODE	Source(-)	Basic Latin : (k)	55636	NOTICE
