# File Name: Holy-Bible---Holy-Bible---Dutch---Leuvense-Bible---Analysis.txt
# File Size: 41107       
# File Date: 12/13/2025 05:18:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Leuvense Bijbel
# Bible Name English: Leuvense Bible
# Bible Language: Nederlandse
# Bible Language English: Dutch
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Dr. Nicoline van der Sijs, Utrecht (NL)
# Bible Source Version: 8/15/2025
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=NldLeuv1548
# Bible Source Year: 1548, 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Dutch---Leuvense-Bible	ENCODING	Source	Holy-Bible---Dutch---Leuvense-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Dutch---Leuvense-Bible	ENCODING	Aionian	Holy-Bible---Dutch---Leuvense-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Dutch---Leuvense-Bible	BYTES	Source	bytes / chars	9166065 / 9164582 (multi-byte)	NOTICE
Dutch---Leuvense-Bible	BYTES	Aionian	bytes / chars	5186744 / 5186532 (multi-byte)	NOTICE
Dutch---Leuvense-Bible	BYTES	SourceClean	bytes / chars	6122990 / 6121507 (multi-byte)	NOTICE
Dutch---Leuvense-Bible	BYTES	AionianClean	bytes / chars	5183196 / 5182998 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Dutch---Leuvense-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Dutch---Leuvense-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Dutch---Leuvense-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Dutch---Leuvense-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Dutch---Leuvense-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Dutch---Leuvense-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Dutch---Leuvense-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Dutch---Leuvense-Bible	UNPRINTABLE	Source	count	0	NOTICE
Dutch---Leuvense-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Dutch---Leuvense-Bible	UNICODE	Summary	(-)Orginal	77	NOTICE
Dutch---Leuvense-Bible	UNICODE	Summary	(+)Aionian	76	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : ([)	7	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : ( )	983879	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : (M)	9655	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : (o)	228592	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : (d)	317705	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : (u)	80754	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : (l)	150191	NOTICE
Dutch---Leuvense-Bible	UNICODE	Source(-)	Basic Latin : (e)	1015428	NOTICE
