# File Name: Holy-Bible---Holy-Bible---Dutch---Petrus-Canisius---Analysis.txt
# File Size: 48711       
# File Date: 05/08/2024 12:08:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Petrus Canisiusvertaling
# Bible Name English: Petrus Canisius Translation
# Bible Language: Nederlandse
# Bible Language English: Dutch
# Bible Copyright Format: CC Attribution NoDerivatives 4.0, 2018-2024
# Bible Copyright Text: Public Domain
# Bible Source: Petrus Canisius Apologetic Society
# Bible Source Version: 2/21/2024
# Bible Source Link: https://ebible.org/details.php?id=nld1939
# Bible Source Year: 1939
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Dutch---Petrus-Canisius	ENCODING	Source	Holy-Bible---Dutch---Petrus-Canisius---Source-Edition.VPL.txt	UTF-8	NOTICE
Dutch---Petrus-Canisius	ENCODING	Aionian	Holy-Bible---Dutch---Petrus-Canisius---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Dutch---Petrus-Canisius	BYTES	Source	bytes / chars	4903859 / 4887906 (multi-byte)	NOTICE
Dutch---Petrus-Canisius	BYTES	Aionian	bytes / chars	4464416 / 4449701 (multi-byte)	NOTICE
Dutch---Petrus-Canisius	BYTES	SourceClean	bytes / chars	4903157 / 4887204 (multi-byte)	NOTICE
Dutch---Petrus-Canisius	BYTES	AionianClean	bytes / chars	4460922 / 4446220 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 263
Dutch---Petrus-Canisius	AIONIAN	Aionian	book-not-exist	0	NOTICE
Dutch---Petrus-Canisius	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Dutch---Petrus-Canisius	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Dutch---Petrus-Canisius	AIONIAN	Aionian	missing-chapter	0	NOTICE
Dutch---Petrus-Canisius	AIONIAN	Aionian	missing-verse	0	NOTICE
Dutch---Petrus-Canisius	AIONIAN	Aionian	aionian-verses	264	NOTICE
Dutch---Petrus-Canisius	AIONIAN	Aionian	tested-verses	264	ERROR

# UNPRINTABLE
Dutch---Petrus-Canisius	UNPRINTABLE	Source	count	0	NOTICE
Dutch---Petrus-Canisius	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Dutch---Petrus-Canisius	UNICODE	Summary	(-)Orginal	89	NOTICE
Dutch---Petrus-Canisius	UNICODE	Summary	(+)Aionian	91	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (G)	11810	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (E)	21123	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (N)	7542	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : ( )	841906	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (1)	35215	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (:)	46172	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (I)	14384	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (n)	379309	NOTICE
Dutch---Petrus-Canisius	UNICODE	Source(-)	Basic Latin : (h)	125138	NOTICE
