# File Name: Holy-Bible---Holy-Bible---Dutch---Schrift---Analysis.txt
# File Size: 269275      
# File Date: 12/13/2025 05:18:33
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: De Heilige Schrift 1917
# Bible Name English: Dutch Holy Bible
# Bible Language: Nederlandse
# Bible Language English: Dutch
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Historic / DBS / eBible.org
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=nld
# Bible Source Year: 1917
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Dutch---Schrift	ENCODING	Source	Holy-Bible---Dutch---Schrift---Source-Edition.VPL.txt	UTF-8	NOTICE
Dutch---Schrift	ENCODING	Aionian	Holy-Bible---Dutch---Schrift---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Dutch---Schrift	BYTES	Source	bytes / chars	4623809 / 4623757 (multi-byte)	NOTICE
Dutch---Schrift	BYTES	Aionian	bytes / chars	4827775 / 4827573 (multi-byte)	NOTICE
Dutch---Schrift	BYTES	SourceClean	bytes / chars	4623038 / 4622986 (multi-byte)	NOTICE
Dutch---Schrift	BYTES	AionianClean	bytes / chars	4824271 / 4824083 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Dutch---Schrift	AIONIAN	Aionian	book-not-exist	0	NOTICE
Dutch---Schrift	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Dutch---Schrift	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Dutch---Schrift	AIONIAN	Aionian	missing-chapter	0	NOTICE
Dutch---Schrift	AIONIAN	Aionian	missing-verse	0	NOTICE
Dutch---Schrift	AIONIAN	Aionian	aionian-verses	264	NOTICE
Dutch---Schrift	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Dutch---Schrift	UNPRINTABLE	Source	count	0	NOTICE
Dutch---Schrift	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Dutch---Schrift	UNICODE	Summary	(-)Orginal	48	NOTICE
Dutch---Schrift	UNICODE	Summary	(+)Aionian	51	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (G)	10790	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : ( )	802774	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (1)	31386	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (:)	40411	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (n)	379640	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (d)	223041	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (e)	625975	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (b)	40748	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (g)	107893	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (i)	218102	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (s)	102783	NOTICE
Dutch---Schrift	UNICODE	Source(-)	Basic Latin : (c)	26919	NOTICE
