# File Name: Holy-Bible---Holy-Bible---English---American-Standard-Version-1901---Analysis.txt
# File Size: 64907       
# File Date: 12/13/2025 05:19:20
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: American Standard Version 1901
# Bible Name English: American Standard Version 1901
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: 19th century American revision of the King James Version
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=eng-asv
# Bible Source Year: 1901
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---American-Standard-Version-1901	ENCODING	Source	Holy-Bible---English---American-Standard-Version-1901---Source-Edition.VPL.txt	UTF-8	NOTICE
English---American-Standard-Version-1901	ENCODING	Aionian	Holy-Bible---English---American-Standard-Version-1901---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---American-Standard-Version-1901	BYTES	Source	bytes / chars	4451288 / 4447070 (multi-byte)	NOTICE
English---American-Standard-Version-1901	BYTES	Aionian	bytes / chars	4665313 / 4660907 (multi-byte)	NOTICE
English---American-Standard-Version-1901	BYTES	SourceClean	bytes / chars	4450459 / 4446241 (multi-byte)	NOTICE
English---American-Standard-Version-1901	BYTES	AionianClean	bytes / chars	4661780 / 4657374 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---American-Standard-Version-1901	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---American-Standard-Version-1901	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---American-Standard-Version-1901	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---American-Standard-Version-1901	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---American-Standard-Version-1901	AIONIAN	Aionian	missing-verse	0	NOTICE
English---American-Standard-Version-1901	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---American-Standard-Version-1901	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---American-Standard-Version-1901	UNPRINTABLE	Source	count	0	NOTICE
English---American-Standard-Version-1901	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---American-Standard-Version-1901	UNICODE	Summary	(-)Orginal	53	NOTICE
English---American-Standard-Version-1901	UNICODE	Summary	(+)Aionian	56	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (G)	7916	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : ( )	815771	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (:)	40190	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (n)	223371	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (t)	306152	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (h)	284812	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (e)	408112	NOTICE
English---American-Standard-Version-1901	UNICODE	Source(-)	Basic Latin : (b)	43810	NOTICE
