# File Name: Holy-Bible---Holy-Bible---English---Bible-in-Basic-English---Analysis.txt
# File Size: 48329       
# File Date: 12/13/2025 05:19:40
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bible in Basic English
# Bible Name English: Bible in Basic English
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Samuel Henry Hooke and Cambridge Press in England
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=engBBE
# Bible Source Year: 1949, 1964
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Bible-in-Basic-English	ENCODING	Source	Holy-Bible---English---Bible-in-Basic-English---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Bible-in-Basic-English	ENCODING	Aionian	Holy-Bible---English---Bible-in-Basic-English---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Bible-in-Basic-English	BYTES	Source	bytes / chars	4467446 / 4467350 (multi-byte)	NOTICE
English---Bible-in-Basic-English	BYTES	Aionian	bytes / chars	4680887 / 4680603 (multi-byte)	NOTICE
English---Bible-in-Basic-English	BYTES	SourceClean	bytes / chars	4466635 / 4466539 (multi-byte)	NOTICE
English---Bible-in-Basic-English	BYTES	AionianClean	bytes / chars	4677380 / 4677096 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Bible-in-Basic-English	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Bible-in-Basic-English	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Bible-in-Basic-English	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Bible-in-Basic-English	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Bible-in-Basic-English	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Bible-in-Basic-English	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Bible-in-Basic-English	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Bible-in-Basic-English	UNPRINTABLE	Source	count	0	NOTICE
English---Bible-in-Basic-English	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Bible-in-Basic-English	UNICODE	Summary	(-)Orginal	59	NOTICE
English---Bible-in-Basic-English	UNICODE	Summary	(+)Aionian	62	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (G)	8588	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (E)	13504	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : ( )	871542	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (:)	38750	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (A)	25672	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (t)	276905	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (h)	238393	NOTICE
English---Bible-in-Basic-English	UNICODE	Source(-)	Basic Latin : (e)	398227	NOTICE
