# File Name: Holy-Bible---Holy-Bible---English---British-English-Septuagint-2012---Analysis.txt
# File Size: 119442      
# File Date: 12/13/2025 05:19:56
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: British English Septuagint 2012
# Bible Name English: British English Septuagint 2012
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Sir Lancelot Charles Lee Brenton, updated by Michael Paul Johnson
# Bible Source Version: 4/1/2020
# Bible Source Link: https://ebible.org/details.php?id=eng-uk-lxx2012
# Bible Source Year: 1851, 2012
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---British-English-Septuagint-2012	ENCODING	Source	Holy-Bible---English---British-English-Septuagint-2012---Source-Edition.VPL.txt	UTF-8	NOTICE
English---British-English-Septuagint-2012	ENCODING	Aionian	Holy-Bible---English---British-English-Septuagint-2012---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---British-English-Septuagint-2012	BYTES	Source	bytes / chars	4201024 / 4197802 (multi-byte)	NOTICE
English---British-English-Septuagint-2012	BYTES	Aionian	bytes / chars	3535754 / 3535304 (multi-byte)	NOTICE
English---British-English-Septuagint-2012	BYTES	SourceClean	bytes / chars	4200155 / 4196933 (multi-byte)	NOTICE
English---British-English-Septuagint-2012	BYTES	AionianClean	bytes / chars	3533134 / 3532684 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---British-English-Septuagint-2012	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---British-English-Septuagint-2012	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---British-English-Septuagint-2012	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
English---British-English-Septuagint-2012	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---British-English-Septuagint-2012	AIONIAN	Aionian	missing-verse	0	NOTICE
English---British-English-Septuagint-2012	AIONIAN	Aionian	aionian-verses	64	NOTICE
English---British-English-Septuagint-2012	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---British-English-Septuagint-2012	UNPRINTABLE	Source	count	0	NOTICE
English---British-English-Septuagint-2012	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---British-English-Septuagint-2012	UNICODE	Summary	(-)Orginal	80	NOTICE
English---British-English-Septuagint-2012	UNICODE	Summary	(+)Aionian	79	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (G)	7286	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (E)	13221	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (N)	5178	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : ( )	776687	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (1)	28341	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (:)	36492	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (I)	15942	NOTICE
English---British-English-Septuagint-2012	UNICODE	Source(-)	Basic Latin : (n)	214451	NOTICE
