# File Name: Holy-Bible---Holy-Bible---English---Family-35-NT---Analysis.txt
# File Size: 44927       
# File Date: 12/13/2025 05:20:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Family 35 New Testament
# Bible Name English: Family 35 New Testament
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wilbur N. Pickering, ThM, PhD
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=engf35
# Bible Source Year: 2016
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Family-35-NT	ENCODING	Source	Holy-Bible---English---Family-35-NT---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Family-35-NT	ENCODING	Aionian	Holy-Bible---English---Family-35-NT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Family-35-NT	BYTES	Source	bytes / chars	1029397 / 1017367 (multi-byte)	NOTICE
English---Family-35-NT	BYTES	Aionian	bytes / chars	1087829 / 1075801 (multi-byte)	NOTICE
English---Family-35-NT	BYTES	SourceClean	bytes / chars	1028576 / 1016546 (multi-byte)	NOTICE
English---Family-35-NT	BYTES	AionianClean	bytes / chars	1085626 / 1073598 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Family-35-NT	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Family-35-NT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Family-35-NT	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
English---Family-35-NT	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Family-35-NT	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Family-35-NT	AIONIAN	Aionian	aionian-verses	200	NOTICE
English---Family-35-NT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Family-35-NT	UNPRINTABLE	Source	count	0	NOTICE
English---Family-35-NT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Family-35-NT	UNICODE	Summary	(-)Orginal	49	NOTICE
English---Family-35-NT	UNICODE	Summary	(+)Aionian	52	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (M)	2880	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (A)	4772	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (T)	4170	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : ( )	185703	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (1)	8051	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (:)	9082	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (g)	14510	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (e)	93095	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (n)	48809	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (a)	53944	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (l)	25444	NOTICE
English---Family-35-NT	UNICODE	Source(-)	Basic Latin : (o)	61321	NOTICE
