# File Name: Holy-Bible---Holy-Bible---English---Godbey-Bible---Analysis.txt
# File Size: 23597       
# File Date: 12/13/2025 05:20:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Godbey New Testament
# Bible Name English: Godbey New Testament
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: William Baxter Godbey
# Bible Source Version: 7/21/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Godbey
# Bible Source Year: 1902
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Godbey-Bible	ENCODING	Source	Holy-Bible---English---Godbey-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
English---Godbey-Bible	ENCODING	Aionian	Holy-Bible---English---Godbey-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Godbey-Bible	BYTES	Source	bytes / chars	1070564 / 1070559 (multi-byte)	NOTICE
English---Godbey-Bible	BYTES	Aionian	bytes / chars	1069385 / 1069192 (multi-byte)	NOTICE
English---Godbey-Bible	BYTES	SourceClean	bytes / chars	1046281 / 1046276 (multi-byte)	NOTICE
English---Godbey-Bible	BYTES	AionianClean	bytes / chars	1067216 / 1067023 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Godbey-Bible	AIONIAN	Aionian	missing-verse	040-MAT-005-030	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	aionian-verses	199	NOTICE
English---Godbey-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Godbey-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Godbey-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Godbey-Bible	UNICODE	Summary	(-)Orginal	58	NOTICE
English---Godbey-Bible	UNICODE	Summary	(+)Aionian	62	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : ( )	187851	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (T)	1972	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (e)	95631	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (s)	46715	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (t)	70265	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (a)	58074	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (m)	19775	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (n)	58779	NOTICE
English---Godbey-Bible	UNICODE	Source(-)	Basic Latin : (2)	4732	NOTICE
