# File Name: Holy-Bible---Holy-Bible---English---Gods-Living-Word---Analysis.txt
# File Size: 13981       
# File Date: 12/13/2025 05:20:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: God's Living Word
# Bible Name English: God's Living Word
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution NoDerivatives 4.0, 2018-2025
# Bible Copyright Text: Creative Commons Attribution NoDerivatives 4.0
# Bible Source: Michael Paul Johnson
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=eng-glw
# Bible Source Year: 1996
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Gods-Living-Word	ENCODING	Source	Holy-Bible---English---Gods-Living-Word---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Gods-Living-Word	ENCODING	Aionian	Holy-Bible---English---Gods-Living-Word---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Gods-Living-Word	BYTES	Source	bytes / chars	125389 / 122661 (multi-byte)	NOTICE
English---Gods-Living-Word	BYTES	Aionian	bytes / chars	133356 / 130591 (multi-byte)	NOTICE
English---Gods-Living-Word	BYTES	SourceClean	bytes / chars	124555 / 121827 (multi-byte)	NOTICE
English---Gods-Living-Word	BYTES	AionianClean	bytes / chars	131996 / 129231 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Gods-Living-Word	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Gods-Living-Word	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Gods-Living-Word	AIONIAN	Aionian	book-defined-not-exist	229	NOTICE
English---Gods-Living-Word	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Gods-Living-Word	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Gods-Living-Word	AIONIAN	Aionian	aionian-verses	35	NOTICE
English---Gods-Living-Word	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Gods-Living-Word	UNPRINTABLE	Source	count	0	NOTICE
English---Gods-Living-Word	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Gods-Living-Word	UNICODE	Summary	(-)Orginal	19	NOTICE
English---Gods-Living-Word	UNICODE	Summary	(+)Aionian	21	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : ( )	22544	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (1)	1039	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (:)	1039	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (n)	5281	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (g)	1283	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (i)	5226	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (a)	6092	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (s)	5753	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (o)	6785	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (,)	2059	NOTICE
English---Gods-Living-Word	UNICODE	Source(-)	Basic Latin : (\n)	1012	NOTICE
