# File Name: Holy-Bible---Holy-Bible---English---Jewish-Bible---Analysis.txt
# File Size: 381479      
# File Date: 12/13/2025 05:20:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Jewish Bible in English
# Bible Name English: Jewish Bible in English
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Jewish Publication Society
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=engjps
# Bible Source Year: 1917
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Jewish-Bible	ENCODING	Source	Holy-Bible---English---Jewish-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Jewish-Bible	ENCODING	Aionian	Holy-Bible---English---Jewish-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Jewish-Bible	BYTES	Source	bytes / chars	3445604 / 3444348 (multi-byte)	NOTICE
English---Jewish-Bible	BYTES	Aionian	bytes / chars	3586583 / 3585327 (multi-byte)	NOTICE
English---Jewish-Bible	BYTES	SourceClean	bytes / chars	3444813 / 3443557 (multi-byte)	NOTICE
English---Jewish-Bible	BYTES	AionianClean	bytes / chars	3584052 / 3582796 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Jewish-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Jewish-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Jewish-Bible	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
English---Jewish-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Jewish-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Jewish-Bible	AIONIAN	Aionian	aionian-verses	64	NOTICE
English---Jewish-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Jewish-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Jewish-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Jewish-Bible	UNICODE	Summary	(-)Orginal	23	NOTICE
English---Jewish-Bible	UNICODE	Summary	(+)Aionian	24	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : ( )	636950	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (1)	23872	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (:)	29266	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (e)	312818	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (o)	181936	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (h)	213421	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (.)	20044	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (\n)	23145	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (2)	17668	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (;)	16060	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (3)	10169	NOTICE
English---Jewish-Bible	UNICODE	Source(-)	Basic Latin : (l)	94291	NOTICE
