# File Name: Holy-Bible---Holy-Bible---English---King-James-Version---Analysis.txt
# File Size: 39506       
# File Date: 12/13/2025 05:21:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: King James Version
# Bible Name English: King James Version
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: King James Authorized Version of the Holy Bible, standardized text
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=eng-kjv2006
# Bible Source Year: 1611, 1769
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---King-James-Version	ENCODING	Source	Holy-Bible---English---King-James-Version---Source-Edition.VPL.txt	UTF-8	NOTICE
English---King-James-Version	ENCODING	Aionian	Holy-Bible---English---King-James-Version---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---King-James-Version	BYTES	Source	bytes / chars	4490862 / 4483800 (multi-byte)	NOTICE
English---King-James-Version	BYTES	Aionian	bytes / chars	4696217 / 4691937 (multi-byte)	NOTICE
English---King-James-Version	BYTES	SourceClean	bytes / chars	4490049 / 4482987 (multi-byte)	NOTICE
English---King-James-Version	BYTES	AionianClean	bytes / chars	4692700 / 4688420 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---King-James-Version	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---King-James-Version	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---King-James-Version	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---King-James-Version	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---King-James-Version	AIONIAN	Aionian	missing-verse	0	NOTICE
English---King-James-Version	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---King-James-Version	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---King-James-Version	UNPRINTABLE	Source	count	0	NOTICE
English---King-James-Version	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---King-James-Version	UNICODE	Summary	(-)Orginal	47	NOTICE
English---King-James-Version	UNICODE	Summary	(+)Aionian	50	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (G)	8422	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : ( )	824779	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (:)	43820	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (n)	222341	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (t)	308635	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (h)	279150	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (e)	407816	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (b)	43930	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (g)	48835	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (i)	179893	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (o)	233243	NOTICE
English---King-James-Version	UNICODE	Source(-)	Basic Latin : (d)	149023	NOTICE
