# File Name: Holy-Bible---Holy-Bible---English---King-James-Version-Updated---Analysis.txt
# File Size: 44686       
# File Date: 12/13/2025 05:21:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: King James Version, Updated
# Bible Name English: King James Version, Updated
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: A Christmas gift to the world completed December 25
# Bible Source Version: 9/11/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=UKJV
# Bible Source Year: 2000
# Bible Description: I love Jesus (UKJV).
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---King-James-Version-Updated	ENCODING	Source	Holy-Bible---English---King-James-Version-Updated---Source-Edition.SWORD.txt	ASCII	WARNING
English---King-James-Version-Updated	ENCODING	Aionian	Holy-Bible---English---King-James-Version-Updated---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---King-James-Version-Updated	BYTES	Source	bytes / chars	4774260 / 4774260 (single-byte)	NOTICE
English---King-James-Version-Updated	BYTES	Aionian	bytes / chars	4666905 / 4666717 (multi-byte)	NOTICE
English---King-James-Version-Updated	BYTES	SourceClean	bytes / chars	4608545 / 4608545 (single-byte)	NOTICE
English---King-James-Version-Updated	BYTES	AionianClean	bytes / chars	4663327 / 4663139 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---King-James-Version-Updated	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---King-James-Version-Updated	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---King-James-Version-Updated	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---King-James-Version-Updated	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---King-James-Version-Updated	AIONIAN	Aionian	missing-verse	0	NOTICE
English---King-James-Version-Updated	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---King-James-Version-Updated	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---King-James-Version-Updated	UNPRINTABLE	Source	count	0	NOTICE
English---King-James-Version-Updated	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---King-James-Version-Updated	UNICODE	Summary	(-)Orginal	65	NOTICE
English---King-James-Version-Updated	UNICODE	Summary	(+)Aionian	68	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : ( )	842921	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (T)	7259	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (e)	418406	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (s)	215100	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (t)	287869	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (a)	276539	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (m)	86091	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (n)	233743	NOTICE
English---King-James-Version-Updated	UNICODE	Source(-)	Basic Latin : (1)	27534	NOTICE
