# File Name: Holy-Bible---Holy-Bible---English---Leeser-Tanakh---Analysis.txt
# File Size: 394938      
# File Date: 12/13/2025 05:22:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Leeser Tanakh Old Testament
# Bible Name English: Leeser Tanakh Old Testament
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Isaac Leeser
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=englee
# Bible Source Year: 1853, 1857
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Leeser-Tanakh	ENCODING	Source	Holy-Bible---English---Leeser-Tanakh---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Leeser-Tanakh	ENCODING	Aionian	Holy-Bible---English---Leeser-Tanakh---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Leeser-Tanakh	BYTES	Source	bytes / chars	3566910 / 3564777 (multi-byte)	NOTICE
English---Leeser-Tanakh	BYTES	Aionian	bytes / chars	3708770 / 3706639 (multi-byte)	NOTICE
English---Leeser-Tanakh	BYTES	SourceClean	bytes / chars	3566117 / 3563984 (multi-byte)	NOTICE
English---Leeser-Tanakh	BYTES	AionianClean	bytes / chars	3706238 / 3704107 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Leeser-Tanakh	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Leeser-Tanakh	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Leeser-Tanakh	AIONIAN	Aionian	book-defined-not-exist	200	NOTICE
English---Leeser-Tanakh	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Leeser-Tanakh	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Leeser-Tanakh	AIONIAN	Aionian	aionian-verses	64	NOTICE
English---Leeser-Tanakh	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Leeser-Tanakh	UNPRINTABLE	Source	count	0	NOTICE
English---Leeser-Tanakh	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Leeser-Tanakh	UNICODE	Summary	(-)Orginal	32	NOTICE
English---Leeser-Tanakh	UNICODE	Summary	(+)Aionian	33	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : ( )	657363	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (1)	23770	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (:)	31439	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (h)	221549	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (e)	323682	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (o)	196738	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (.)	19760	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (\n)	23145	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (2)	17535	NOTICE
English---Leeser-Tanakh	UNICODE	Source(-)	Basic Latin : (A)	21308	NOTICE
