# File Name: Holy-Bible---Holy-Bible---English---Literal-Standard---Analysis.txt
# File Size: 33042       
# File Date: 12/13/2025 05:22:20
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Literal Standard Version
# Bible Name English: Literal Standard Version
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Covenant Press and the Covenant Christian Coalition
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=englsv
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Literal-Standard	ENCODING	Source	Holy-Bible---English---Literal-Standard---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Literal-Standard	ENCODING	Aionian	Holy-Bible---English---Literal-Standard---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Literal-Standard	BYTES	Source	bytes / chars	4450535 / 4413233 (multi-byte)	NOTICE
English---Literal-Standard	BYTES	Aionian	bytes / chars	4619134 / 4581648 (multi-byte)	NOTICE
English---Literal-Standard	BYTES	SourceClean	bytes / chars	4449706 / 4412404 (multi-byte)	NOTICE
English---Literal-Standard	BYTES	AionianClean	bytes / chars	4615592 / 4578106 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Literal-Standard	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Literal-Standard	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Literal-Standard	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Literal-Standard	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Literal-Standard	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Literal-Standard	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Literal-Standard	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Literal-Standard	UNPRINTABLE	Source	count	0	NOTICE
English---Literal-Standard	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Literal-Standard	UNICODE	Summary	(-)Orginal	55	NOTICE
English---Literal-Standard	UNICODE	Summary	(+)Aionian	58	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (G)	8046	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (E)	14079	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : ( )	821719	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (1)	30447	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (:)	33189	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (n)	234279	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (t)	252779	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (h)	216473	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (e)	372444	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (b)	41115	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (g)	60061	NOTICE
English---Literal-Standard	UNICODE	Source(-)	Basic Latin : (i)	187303	NOTICE
