# File Name: Holy-Bible---Holy-Bible---English---Living-Oracles-NT---Analysis.txt
# File Size: 35456       
# File Date: 12/13/2025 05:22:28
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Living Oracles NT
# Bible Name English: Living Oracles NT
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Alexander Campbell
# Bible Source Version: 10/23/2025
# Bible Source Link: https://bible4u.net/en/download#TLO
# Bible Source Year: 1826
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Living-Oracles-NT	ENCODING	Source	Holy-Bible---English---Living-Oracles-NT---Source-Edition.B4U.txt	ASCII	WARNING
English---Living-Oracles-NT	ENCODING	Aionian	Holy-Bible---English---Living-Oracles-NT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Living-Oracles-NT	BYTES	Source	bytes / chars	1011917 / 1011917 (single-byte)	NOTICE
English---Living-Oracles-NT	BYTES	Aionian	bytes / chars	1062736 / 1062548 (multi-byte)	NOTICE
English---Living-Oracles-NT	BYTES	SourceClean	bytes / chars	1010818 / 1010818 (single-byte)	NOTICE
English---Living-Oracles-NT	BYTES	AionianClean	bytes / chars	1060597 / 1060409 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Living-Oracles-NT	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Living-Oracles-NT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Living-Oracles-NT	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
English---Living-Oracles-NT	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Living-Oracles-NT	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Living-Oracles-NT	AIONIAN	Aionian	aionian-verses	200	NOTICE
English---Living-Oracles-NT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Living-Oracles-NT	UNPRINTABLE	Source	count	0	NOTICE
English---Living-Oracles-NT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Living-Oracles-NT	UNICODE	Summary	(-)Orginal	66	NOTICE
English---Living-Oracles-NT	UNICODE	Summary	(+)Aionian	68	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (T)	1873	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (h)	54493	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (e)	94426	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : ( )	172461	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (L)	1982	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (i)	45713	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (v)	8526	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (n)	49047	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (g)	12732	NOTICE
English---Living-Oracles-NT	UNICODE	Source(-)	Basic Latin : (O)	239	NOTICE
