# File Name: Holy-Bible---Holy-Bible---English---Noyes---Analysis.txt
# File Size: 28285       
# File Date: 12/13/2025 05:23:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Noyes Bible
# Bible Name English: Noyes Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: George Noyes
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=engnoy
# Bible Source Year: 1869
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Noyes	ENCODING	Source	Holy-Bible---English---Noyes---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Noyes	ENCODING	Aionian	Holy-Bible---English---Noyes---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Noyes	BYTES	Source	bytes / chars	2398830 / 2394326 (multi-byte)	NOTICE
English---Noyes	BYTES	Aionian	bytes / chars	2526130 / 2521438 (multi-byte)	NOTICE
English---Noyes	BYTES	SourceClean	bytes / chars	2398053 / 2393549 (multi-byte)	NOTICE
English---Noyes	BYTES	AionianClean	bytes / chars	2523284 / 2518592 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Noyes	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Noyes	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Noyes	AIONIAN	Aionian	book-defined-not-exist	11	NOTICE
English---Noyes	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Noyes	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Noyes	AIONIAN	Aionian	aionian-verses	253	NOTICE
English---Noyes	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Noyes	UNPRINTABLE	Source	count	0	NOTICE
English---Noyes	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Noyes	UNICODE	Summary	(-)Orginal	55	NOTICE
English---Noyes	UNICODE	Summary	(+)Aionian	57	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (J)	8848	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (O)	6989	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : ( )	439885	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (1)	16892	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (:)	19247	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (n)	113035	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (t)	161107	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (h)	146730	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (e)	218676	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (l)	65442	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (a)	129490	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (d)	75624	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (o)	131282	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (U)	1341	NOTICE
English---Noyes	UNICODE	Source(-)	Basic Latin : (i)	101055	NOTICE
