# File Name: Holy-Bible---Holy-Bible---English---One-Unity-Resource-Bible---Analysis.txt
# File Size: 237778      
# File Date: 12/13/2025 05:23:40
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: One Unity Resource Bible
# Bible Name English: One Unity Resource Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Thomas Robinson
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=engourb
# Bible Source Year: 2016
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---One-Unity-Resource-Bible	ENCODING	Source	Holy-Bible---English---One-Unity-Resource-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
English---One-Unity-Resource-Bible	ENCODING	Aionian	Holy-Bible---English---One-Unity-Resource-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---One-Unity-Resource-Bible	BYTES	Source	bytes / chars	2213259 / 2183707 (multi-byte)	NOTICE
English---One-Unity-Resource-Bible	BYTES	Aionian	bytes / chars	2158451 / 2129309 (multi-byte)	NOTICE
English---One-Unity-Resource-Bible	BYTES	SourceClean	bytes / chars	2212412 / 2182860 (multi-byte)	NOTICE
English---One-Unity-Resource-Bible	BYTES	AionianClean	bytes / chars	2156800 / 2127658 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---One-Unity-Resource-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---One-Unity-Resource-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---One-Unity-Resource-Bible	AIONIAN	Aionian	book-defined-not-exist	152	NOTICE
English---One-Unity-Resource-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---One-Unity-Resource-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---One-Unity-Resource-Bible	AIONIAN	Aionian	aionian-verses	112	NOTICE
English---One-Unity-Resource-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---One-Unity-Resource-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---One-Unity-Resource-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---One-Unity-Resource-Bible	UNICODE	Summary	(-)Orginal	76	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Summary	(+)Aionian	79	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (G)	4965	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (E)	6167	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (N)	3735	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : ( )	389234	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (1)	14299	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (:)	16449	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (B)	2247	NOTICE
English---One-Unity-Resource-Bible	UNICODE	Source(-)	Basic Latin : (r)	86625	NOTICE
