# File Name: Holy-Bible---Holy-Bible---English---Open-English-Bible-US---Analysis.txt
# File Size: 30160       
# File Date: 03/20/2026 10:30:14
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Open English Bible, US
# Bible Name English: Open English Bible, US
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2026
# Bible Copyright Text: Public Domain
# Bible Source: OpenEnglishBible.org
# Bible Source Version: 3/11/2026
# Bible Source Link: https://ebible.org/details.php?id=engoebus
# Bible Source Year: 2016
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Open-English-Bible-US	ENCODING	Source	Holy-Bible---English---Open-English-Bible-US---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Open-English-Bible-US	ENCODING	Aionian	Holy-Bible---English---Open-English-Bible-US---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Open-English-Bible-US	BYTES	Source	bytes / chars	1814863 / 1793025 (multi-byte)	NOTICE
English---Open-English-Bible-US	BYTES	Aionian	bytes / chars	1913312 / 1891286 (multi-byte)	NOTICE
English---Open-English-Bible-US	BYTES	SourceClean	bytes / chars	1814050 / 1792212 (multi-byte)	NOTICE
English---Open-English-Bible-US	BYTES	AionianClean	bytes / chars	1910622 / 1888596 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Open-English-Bible-US	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Open-English-Bible-US	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Open-English-Bible-US	AIONIAN	Aionian	book-defined-not-exist	41	NOTICE
English---Open-English-Bible-US	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Open-English-Bible-US	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Open-English-Bible-US	AIONIAN	Aionian	aionian-verses	223	NOTICE
English---Open-English-Bible-US	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Open-English-Bible-US	UNPRINTABLE	Source	count	0	NOTICE
English---Open-English-Bible-US	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Open-English-Bible-US	UNICODE	Summary	(-)Orginal	51	NOTICE
English---Open-English-Bible-US	UNICODE	Summary	(+)Aionian	55	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (G)	4812	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (E)	4058	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : ( )	330233	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (1)	13538	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (:)	14575	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (n)	81266	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (t)	110416	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (h)	91541	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (e)	162886	NOTICE
English---Open-English-Bible-US	UNICODE	Source(-)	Basic Latin : (b)	17087	NOTICE
