# File Name: Holy-Bible---Holy-Bible---English---Orthodox-Jewish-Bible---Analysis.txt
# File Size: 202493      
# File Date: 12/13/2025 05:23:50
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Tanakh and B'rit Chadasha
# Bible Name English: The Orthodox Jewish Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Artists for Israel International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=engojb
# Bible Source Year: 2002-2011, 2021, 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Orthodox-Jewish-Bible	ENCODING	Source	Holy-Bible---English---Orthodox-Jewish-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Orthodox-Jewish-Bible	ENCODING	Aionian	Holy-Bible---English---Orthodox-Jewish-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Orthodox-Jewish-Bible	BYTES	Source	bytes / chars	4862815 / 4860294 (multi-byte)	NOTICE
English---Orthodox-Jewish-Bible	BYTES	Aionian	bytes / chars	5029391 / 5026682 (multi-byte)	NOTICE
English---Orthodox-Jewish-Bible	BYTES	SourceClean	bytes / chars	4861987 / 4859466 (multi-byte)	NOTICE
English---Orthodox-Jewish-Bible	BYTES	AionianClean	bytes / chars	5025809 / 5023100 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Orthodox-Jewish-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Orthodox-Jewish-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Orthodox-Jewish-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Orthodox-Jewish-Bible	UNICODE	Summary	(-)Orginal	59	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Summary	(+)Aionian	62	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (G)	5943	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (E)	18986	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (N)	7049	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : ( )	848105	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (1)	30779	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (:)	33072	NOTICE
English---Orthodox-Jewish-Bible	UNICODE	Source(-)	Basic Latin : (I)	15509	NOTICE
