# File Name: Holy-Bible---Holy-Bible---English---Plain-English-Version---Analysis.txt
# File Size: 703309      
# File Date: 03/21/2026 12:44:31
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Aboriginal Plain English Version
# Bible Name English: Aboriginal Plain English Version
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2026
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators Australia
# Bible Source Version: 3/11/2026
# Bible Source Link: https://ebible.org/details.php?id=engPEV
# Bible Source Year: 2026
# Bible Description: For Australian Aboriginals who speak English
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Plain-English-Version	ENCODING	Source	Holy-Bible---English---Plain-English-Version---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Plain-English-Version	ENCODING	Aionian	Holy-Bible---English---Plain-English-Version---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Plain-English-Version	BYTES	Source	bytes / chars	1634664 / 1609373 (multi-byte)	NOTICE
English---Plain-English-Version	BYTES	Aionian	bytes / chars	1626236 / 1601784 (multi-byte)	NOTICE
English---Plain-English-Version	BYTES	SourceClean	bytes / chars	1633825 / 1608534 (multi-byte)	NOTICE
English---Plain-English-Version	BYTES	AionianClean	bytes / chars	1624047 / 1599595 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	009-1SA-002-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	040-MAT-011-023	NOTICE
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-012-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-013-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-016-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-018-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-018-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-019-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-019-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-021-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-023-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-023-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	040-MAT-024-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	041-MAR-010-030	NOTICE
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	042-LUK-001-033	NOTICE
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	042-LUK-008-031	NOTICE
English---Plain-English-Version	AIONIAN	Aionian	missing-chapter	042-LUK-012-001	ERROR
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	042-LUK-018-018	NOTICE
English---Plain-English-Version	AIONIAN	Aionian	missing-verse	042-LUK-018-030	NOTICE
