# File Name: Holy-Bible---Holy-Bible---English---Revised-Version---Analysis.txt
# File Size: 47469       
# File Date: 12/13/2025 05:23:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Revised Version 1895
# Bible Name English: Revised Version 1895
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: 19th century British revision of the King James Version
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=eng-rv
# Bible Source Year: 1895
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Revised-Version	ENCODING	Source	Holy-Bible---English---Revised-Version---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Revised-Version	ENCODING	Aionian	Holy-Bible---English---Revised-Version---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Revised-Version	BYTES	Source	bytes / chars	5286658 / 5282096 (multi-byte)	NOTICE
English---Revised-Version	BYTES	Aionian	bytes / chars	4668810 / 4664616 (multi-byte)	NOTICE
English---Revised-Version	BYTES	SourceClean	bytes / chars	5285861 / 5281299 (multi-byte)	NOTICE
English---Revised-Version	BYTES	AionianClean	bytes / chars	4665314 / 4661120 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Revised-Version	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Revised-Version	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Revised-Version	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Revised-Version	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Revised-Version	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Revised-Version	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Revised-Version	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Revised-Version	UNPRINTABLE	Source	count	0	NOTICE
English---Revised-Version	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Revised-Version	UNICODE	Summary	(-)Orginal	78	NOTICE
English---Revised-Version	UNICODE	Summary	(+)Aionian	81	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (G)	9073	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (E)	15283	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (N)	5850	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : ( )	974990	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (1)	36872	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (:)	50343	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (I)	19787	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (n)	268306	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (t)	371046	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (h)	328494	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (e)	485579	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (b)	51880	NOTICE
English---Revised-Version	UNICODE	Source(-)	Basic Latin : (g)	60716	NOTICE
