# File Name: Holy-Bible---Holy-Bible---English---Rotherham-Bible---Analysis.txt
# File Size: 27972       
# File Date: 12/13/2025 05:24:09
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Rotherham Emphasized Bible
# Bible Name English: Rotherham Emphasized Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Joseph Bryant Rotherham, published by Samuel Bagster and Sons
# Bible Source Version: 7/21/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Rotherham
# Bible Source Year: 1902
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Rotherham-Bible	ENCODING	Source	Holy-Bible---English---Rotherham-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
English---Rotherham-Bible	ENCODING	Aionian	Holy-Bible---English---Rotherham-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Rotherham-Bible	BYTES	Source	bytes / chars	5661094 / 5613916 (multi-byte)	NOTICE
English---Rotherham-Bible	BYTES	Aionian	bytes / chars	4923865 / 4876501 (multi-byte)	NOTICE
English---Rotherham-Bible	BYTES	SourceClean	bytes / chars	4855121 / 4807943 (multi-byte)	NOTICE
English---Rotherham-Bible	BYTES	AionianClean	bytes / chars	4920327 / 4872963 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Rotherham-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Rotherham-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Rotherham-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Rotherham-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Rotherham-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Rotherham-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Rotherham-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Rotherham-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Rotherham-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Rotherham-Bible	UNICODE	Summary	(-)Orginal	70	NOTICE
English---Rotherham-Bible	UNICODE	Summary	(+)Aionian	73	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : ([)	1600	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : ( )	835789	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (T)	10004	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (e)	446964	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (s)	219706	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (t)	312236	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (a)	284140	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (m)	88807	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (n)	251081	NOTICE
English---Rotherham-Bible	UNICODE	Source(-)	Basic Latin : (1)	27525	NOTICE
