# File Name: Holy-Bible---Holy-Bible---English---Tyndale-Bible---Analysis.txt
# File Size: 37118       
# File Date: 06/19/2025 05:13:57
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Tyndale Genesis, New Testament
# Bible Name English: Tyndale Genesis, New Testament
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: William Tyndale
# Bible Source Version: 6/9/2025
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Tyndale
# Bible Source Year: 1525, 1530
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Tyndale-Bible	ENCODING	Source	Holy-Bible---English---Tyndale-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
English---Tyndale-Bible	ENCODING	Aionian	Holy-Bible---English---Tyndale-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Tyndale-Bible	BYTES	Source	bytes / chars	1998004 / 1997988 (multi-byte)	NOTICE
English---Tyndale-Bible	BYTES	Aionian	bytes / chars	1960937 / 1960733 (multi-byte)	NOTICE
English---Tyndale-Bible	BYTES	SourceClean	bytes / chars	1930817 / 1930801 (multi-byte)	NOTICE
English---Tyndale-Bible	BYTES	AionianClean	bytes / chars	1958543 / 1958339 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Tyndale-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Tyndale-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Tyndale-Bible	AIONIAN	Aionian	book-defined-not-exist	56	NOTICE
English---Tyndale-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Tyndale-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Tyndale-Bible	AIONIAN	Aionian	aionian-verses	208	NOTICE
English---Tyndale-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Tyndale-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Tyndale-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Tyndale-Bible	UNICODE	Summary	(-)Orginal	66	NOTICE
English---Tyndale-Bible	UNICODE	Summary	(+)Aionian	67	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : ( )	351550	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (T)	2834	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (e)	230932	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (s)	88964	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (t)	132006	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (a)	106254	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (m)	33758	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (n)	98265	NOTICE
English---Tyndale-Bible	UNICODE	Source(-)	Basic Latin : (1)	12015	NOTICE
