# File Name: Holy-Bible---Holy-Bible---English---Webster-Bible---Analysis.txt
# File Size: 39906       
# File Date: 12/13/2025 05:25:13
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Webster Bible
# Bible Name English: Webster Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Noah Webster
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=engwebster
# Bible Source Year: 1833
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Webster-Bible	ENCODING	Source	Holy-Bible---English---Webster-Bible---Source-Edition.VPL.txt	ASCII	WARNING
English---Webster-Bible	ENCODING	Aionian	Holy-Bible---English---Webster-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Webster-Bible	BYTES	Source	bytes / chars	4448378 / 4448378 (single-byte)	NOTICE
English---Webster-Bible	BYTES	Aionian	bytes / chars	4660396 / 4660208 (multi-byte)	NOTICE
English---Webster-Bible	BYTES	SourceClean	bytes / chars	4447577 / 4447577 (single-byte)	NOTICE
English---Webster-Bible	BYTES	AionianClean	bytes / chars	4656955 / 4656767 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Webster-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Webster-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Webster-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Webster-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Webster-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Webster-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Webster-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Webster-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Webster-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Webster-Bible	UNICODE	Summary	(-)Orginal	46	NOTICE
English---Webster-Bible	UNICODE	Summary	(+)Aionian	50	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (G)	8256	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : ( )	821321	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (:)	43723	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (n)	211968	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (t)	306736	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (h)	275892	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (e)	401102	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (b)	43704	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (g)	48374	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (i)	179699	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (o)	233348	NOTICE
English---Webster-Bible	UNICODE	Source(-)	Basic Latin : (d)	149158	NOTICE
