# File Name: Holy-Bible---Holy-Bible---English---Weymouth-NT---Analysis.txt
# File Size: 35294       
# File Date: 12/13/2025 05:25:32
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Weymouth New Testament
# Bible Name English: Weymouth New Testament
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Richard F. Weymouth
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1903-1929
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Weymouth-NT	ENCODING	Source	Holy-Bible---English---Weymouth-NT---Source-Edition.UNBOUND.txt	ASCII	WARNING
English---Weymouth-NT	ENCODING	Aionian	Holy-Bible---English---Weymouth-NT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Weymouth-NT	BYTES	Source	bytes / chars	1175683 / 1175683 (single-byte)	NOTICE
English---Weymouth-NT	BYTES	Aionian	bytes / chars	1164711 / 1164523 (multi-byte)	NOTICE
English---Weymouth-NT	BYTES	SourceClean	bytes / chars	1174663 / 1174663 (single-byte)	NOTICE
English---Weymouth-NT	BYTES	AionianClean	bytes / chars	1162574 / 1162386 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Weymouth-NT	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Weymouth-NT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Weymouth-NT	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
English---Weymouth-NT	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Weymouth-NT	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Weymouth-NT	AIONIAN	Aionian	aionian-verses	200	NOTICE
English---Weymouth-NT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Weymouth-NT	UNPRINTABLE	Source	count	0	NOTICE
English---Weymouth-NT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Weymouth-NT	UNICODE	Summary	(-)Orginal	65	NOTICE
English---Weymouth-NT	UNICODE	Summary	(+)Aionian	64	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (4)	12960	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (0)	12832	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (N)	8496	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (\t)	39790	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (1)	11453	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (T)	2207	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (h)	53042	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (e)	102042	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : ( )	189582	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (G)	1994	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (n)	53179	NOTICE
English---Weymouth-NT	UNICODE	Source(-)	Basic Latin : (a)	59493	NOTICE
