# File Name: Holy-Bible---Holy-Bible---English---World-English-Bible-British-Edition---Analysis.txt
# File Size: 45071       
# File Date: 01/07/2024 09:51:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: World English Bible, British
# Bible Name English: World English Bible, British
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: CC Attribution NoDerivatives 4.0, 2018-2023
# Bible Copyright Text: Public Domain
# Bible Source: Michael Paul Johnson and many others
# Bible Source Version: 1/3/2024
# Bible Source Link: https://ebible.org/details.php?id=engwebpb
# Bible Source Year: 2011-2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---World-English-Bible-British-Edition	ENCODING	Source	Holy-Bible---English---World-English-Bible-British-Edition---Source-Edition.VPL.txt	UTF-8	NOTICE
English---World-English-Bible-British-Edition	ENCODING	Aionian	Holy-Bible---English---World-English-Bible-British-Edition---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---World-English-Bible-British-Edition	BYTES	Source	bytes / chars	4333750 / 4281773 (multi-byte)	NOTICE
English---World-English-Bible-British-Edition	BYTES	Aionian	bytes / chars	4548034 / 4495873 (multi-byte)	NOTICE
English---World-English-Bible-British-Edition	BYTES	SourceClean	bytes / chars	4333003 / 4281026 (multi-byte)	NOTICE
English---World-English-Bible-British-Edition	BYTES	AionianClean	bytes / chars	4544524 / 4492363 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 263
English---World-English-Bible-British-Edition	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---World-English-Bible-British-Edition	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---World-English-Bible-British-Edition	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---World-English-Bible-British-Edition	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---World-English-Bible-British-Edition	AIONIAN	Aionian	missing-verse	0	NOTICE
English---World-English-Bible-British-Edition	AIONIAN	Aionian	aionian-verses	265	NOTICE
English---World-English-Bible-British-Edition	AIONIAN	Aionian	tested-verses	265	ERROR

# UNPRINTABLE
English---World-English-Bible-British-Edition	UNPRINTABLE	Source	count	0	NOTICE
English---World-English-Bible-British-Edition	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---World-English-Bible-British-Edition	UNICODE	Summary	(-)Orginal	52	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Summary	(+)Aionian	55	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (G)	8473	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : ( )	787723	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (1)	30444	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (:)	32659	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (n)	193022	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (t)	260921	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (h)	234159	NOTICE
English---World-English-Bible-British-Edition	UNICODE	Source(-)	Basic Latin : (e)	385769	NOTICE
