# File Name: Holy-Bible---Holy-Bible---English---World-English-Bible-Updated---Analysis.txt
# File Size: 48463       
# File Date: 12/13/2025 05:25:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: World English Bible Updated
# Bible Name English: World English Bible Updated
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Michael Paul Johnson and many others
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=engwebu
# Bible Source Year: 1997-2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---World-English-Bible-Updated	ENCODING	Source	Holy-Bible---English---World-English-Bible-Updated---Source-Edition.VPL.txt	UTF-8	NOTICE
English---World-English-Bible-Updated	ENCODING	Aionian	Holy-Bible---English---World-English-Bible-Updated---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---World-English-Bible-Updated	BYTES	Source	bytes / chars	5321546 / 5263245 (multi-byte)	NOTICE
English---World-English-Bible-Updated	BYTES	Aionian	bytes / chars	4542887 / 4490717 (multi-byte)	NOTICE
English---World-English-Bible-Updated	BYTES	SourceClean	bytes / chars	5320723 / 5262422 (multi-byte)	NOTICE
English---World-English-Bible-Updated	BYTES	AionianClean	bytes / chars	4539378 / 4487208 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---World-English-Bible-Updated	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---World-English-Bible-Updated	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---World-English-Bible-Updated	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---World-English-Bible-Updated	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---World-English-Bible-Updated	AIONIAN	Aionian	missing-verse	0	NOTICE
English---World-English-Bible-Updated	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---World-English-Bible-Updated	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---World-English-Bible-Updated	UNPRINTABLE	Source	count	0	NOTICE
English---World-English-Bible-Updated	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---World-English-Bible-Updated	UNICODE	Summary	(-)Orginal	81	NOTICE
English---World-English-Bible-Updated	UNICODE	Summary	(+)Aionian	82	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (G)	10045	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (E)	15632	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (N)	6962	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : ( )	964931	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (1)	37708	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (:)	39808	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (I)	21443	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (n)	242147	NOTICE
English---World-English-Bible-Updated	UNICODE	Source(-)	Basic Latin : (t)	322442	NOTICE
