# File Name: Holy-Bible---Holy-Bible---English---World-Messianic-Bible---Analysis.txt
# File Size: 40801       
# File Date: 12/13/2025 05:26:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: World Messianic Bible
# Bible Name English: World Messianic Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Michael Paul Johnson and many others
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=engwmb
# Bible Source Year: 1997-2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---World-Messianic-Bible	ENCODING	Source	Holy-Bible---English---World-Messianic-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
English---World-Messianic-Bible	ENCODING	Aionian	Holy-Bible---English---World-Messianic-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---World-Messianic-Bible	BYTES	Source	bytes / chars	4331962 / 4279981 (multi-byte)	NOTICE
English---World-Messianic-Bible	BYTES	Aionian	bytes / chars	4546165 / 4494001 (multi-byte)	NOTICE
English---World-Messianic-Bible	BYTES	SourceClean	bytes / chars	4331153 / 4279172 (multi-byte)	NOTICE
English---World-Messianic-Bible	BYTES	AionianClean	bytes / chars	4542658 / 4490494 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---World-Messianic-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---World-Messianic-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---World-Messianic-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---World-Messianic-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---World-Messianic-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---World-Messianic-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---World-Messianic-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---World-Messianic-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---World-Messianic-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---World-Messianic-Bible	UNICODE	Summary	(-)Orginal	52	NOTICE
English---World-Messianic-Bible	UNICODE	Summary	(+)Aionian	55	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (G)	8495	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : ( )	787484	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (1)	30444	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (:)	32659	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (n)	192718	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (t)	258998	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (h)	235394	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (e)	385888	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (b)	41913	NOTICE
English---World-Messianic-Bible	UNICODE	Source(-)	Basic Latin : (g)	49669	NOTICE
