# File Name: Holy-Bible---Holy-Bible---English---Worsley-Bible---Analysis.txt
# File Size: 38807       
# File Date: 12/13/2025 05:26:22
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: John Worsley New Testament
# Bible Name English: John Worsley New Testament
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: John Worsley
# Bible Source Version: 7/20/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Worsley
# Bible Source Year: 1770
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Worsley-Bible	ENCODING	Source	Holy-Bible---English---Worsley-Bible---Source-Edition.SWORD.txt	ASCII	WARNING
English---Worsley-Bible	ENCODING	Aionian	Holy-Bible---English---Worsley-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Worsley-Bible	BYTES	Source	bytes / chars	1315592 / 1315592 (single-byte)	NOTICE
English---Worsley-Bible	BYTES	Aionian	bytes / chars	1076459 / 1076271 (multi-byte)	NOTICE
English---Worsley-Bible	BYTES	SourceClean	bytes / chars	1053023 / 1053023 (single-byte)	NOTICE
English---Worsley-Bible	BYTES	AionianClean	bytes / chars	1074285 / 1074097 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Worsley-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Worsley-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Worsley-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
English---Worsley-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Worsley-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Worsley-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
English---Worsley-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Worsley-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Worsley-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Worsley-Bible	UNICODE	Summary	(-)Orginal	61	NOTICE
English---Worsley-Bible	UNICODE	Summary	(+)Aionian	65	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : ( )	190638	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (T)	1628	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (e)	98540	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (s)	47295	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (t)	75327	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (a)	60566	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (m)	19392	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (n)	54595	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (2)	4751	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (H)	3345	NOTICE
English---Worsley-Bible	UNICODE	Source(-)	Basic Latin : (d)	34459	NOTICE
