# File Name: Holy-Bible---Holy-Bible---English---Wycliffe-Bible---Analysis.txt
# File Size: 22934       
# File Date: 12/13/2025 05:26:26
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Wycliffe Bible
# Bible Name English: Wycliffe Bible
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: John Wycliffe and his followers
# Bible Source Version: 8/22/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Wycliffe
# Bible Source Year: 1395
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Wycliffe-Bible	ENCODING	Source	Holy-Bible---English---Wycliffe-Bible---Source-Edition.SWORD.txt	ASCII	WARNING
English---Wycliffe-Bible	ENCODING	Aionian	Holy-Bible---English---Wycliffe-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Wycliffe-Bible	BYTES	Source	bytes / chars	5444328 / 5444328 (single-byte)	NOTICE
English---Wycliffe-Bible	BYTES	Aionian	bytes / chars	4674671 / 4674483 (multi-byte)	NOTICE
English---Wycliffe-Bible	BYTES	SourceClean	bytes / chars	5350280 / 5350280 (single-byte)	NOTICE
English---Wycliffe-Bible	BYTES	AionianClean	bytes / chars	4671148 / 4670960 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Wycliffe-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Wycliffe-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Wycliffe-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
English---Wycliffe-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Wycliffe-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Wycliffe-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
English---Wycliffe-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Wycliffe-Bible	UNPRINTABLE	Source	count	0	NOTICE
English---Wycliffe-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Wycliffe-Bible	UNICODE	Summary	(-)Orginal	74	NOTICE
English---Wycliffe-Bible	UNICODE	Summary	(+)Aionian	78	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : ( )	966761	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (T)	8491	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (e)	561412	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (s)	257631	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (t)	338566	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (a)	259814	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (m)	92326	NOTICE
English---Wycliffe-Bible	UNICODE	Source(-)	Basic Latin : (n)	301261	NOTICE
