# File Name: Holy-Bible---Holy-Bible---Esperanto---Esperanto-Bible---Analysis.txt
# File Size: 34256       
# File Date: 12/13/2025 05:26:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Esperanto London Bible
# Bible Name English: Esperanto London Bible
# Bible Language: Esperanto
# Bible Language English: Esperanto
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Ludvic Lazarus Zamenhof, British and Foreign Bible Society
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=epo
# Bible Source Year: 1910, 1926
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Esperanto---Esperanto-Bible	ENCODING	Source	Holy-Bible---Esperanto---Esperanto-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Esperanto---Esperanto-Bible	ENCODING	Aionian	Holy-Bible---Esperanto---Esperanto-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Esperanto---Esperanto-Bible	BYTES	Source	bytes / chars	4144767 / 4064513 (multi-byte)	NOTICE
Esperanto---Esperanto-Bible	BYTES	Aionian	bytes / chars	4359041 / 4278587 (multi-byte)	NOTICE
Esperanto---Esperanto-Bible	BYTES	SourceClean	bytes / chars	4143972 / 4063718 (multi-byte)	NOTICE
Esperanto---Esperanto-Bible	BYTES	AionianClean	bytes / chars	4355548 / 4275106 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Esperanto---Esperanto-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Esperanto---Esperanto-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Esperanto---Esperanto-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Esperanto---Esperanto-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Esperanto---Esperanto-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Esperanto---Esperanto-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Esperanto---Esperanto-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Esperanto---Esperanto-Bible	UNPRINTABLE	Source	count	0	NOTICE
Esperanto---Esperanto-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Esperanto---Esperanto-Bible	UNICODE	Summary	(-)Orginal	44	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Summary	(+)Aionian	49	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (G)	3620	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : ( )	716841	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (:)	40154	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (n)	217658	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (l)	198210	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (a)	362473	NOTICE
Esperanto---Esperanto-Bible	UNICODE	Source(-)	Basic Latin : (k)	112696	NOTICE
