# File Name: Holy-Bible---Holy-Bible---Estonian---Contemporary---Analysis.txt
# File Size: 19134       
# File Date: 12/13/2025 05:26:52
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Pühakiri Kaasaegses Eesti Keeles
# Bible Name English: Estonian Modern Bible
# Bible Language: Eesti
# Bible Language English: Estonian
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=ekk
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Estonian---Contemporary	ENCODING	Source	Holy-Bible---Estonian---Contemporary---Source-Edition.VPL.txt	UTF-8	NOTICE
Estonian---Contemporary	ENCODING	Aionian	Holy-Bible---Estonian---Contemporary---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Estonian---Contemporary	BYTES	Source	bytes / chars	975556 / 938132 (multi-byte)	NOTICE
Estonian---Contemporary	BYTES	Aionian	bytes / chars	1034175 / 996698 (multi-byte)	NOTICE
Estonian---Contemporary	BYTES	SourceClean	bytes / chars	974739 / 937315 (multi-byte)	NOTICE
Estonian---Contemporary	BYTES	AionianClean	bytes / chars	1031895 / 994419 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Estonian---Contemporary	AIONIAN	Aionian	book-not-exist	0	NOTICE
Estonian---Contemporary	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Estonian---Contemporary	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Estonian---Contemporary	AIONIAN	Aionian	missing-chapter	0	NOTICE
Estonian---Contemporary	AIONIAN	Aionian	missing-verse	0	NOTICE
Estonian---Contemporary	AIONIAN	Aionian	aionian-verses	200	NOTICE
Estonian---Contemporary	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Estonian---Contemporary	UNPRINTABLE	Source	count	0	NOTICE
Estonian---Contemporary	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Estonian---Contemporary	UNICODE	Summary	(-)Orginal	46	NOTICE
Estonian---Contemporary	UNICODE	Summary	(+)Aionian	50	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (M)	3947	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (A)	4072	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (T)	3993	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : ( )	143716	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (1)	8049	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (:)	9927	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (J)	5781	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (e)	87255	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (s)	65766	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (u)	43245	NOTICE
Estonian---Contemporary	UNICODE	Source(-)	Basic Latin : (i)	58977	NOTICE
